,HRI
% Above Low,0.5882000000000001
% Held by Institutions,0.9670000000000001
52-Wk Range,['83.43 - 189.59']
Annual Dividend $,2.3
Annual Dividend %,0.0174
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.5
Bid,131.55
Bid Size,
Closing Price,132.5
Day Change $,0.41
Day Change %,0.0031
Day High,134.48
Day Low,131.38
Dividend Pay Date,2022-09-02 00:00:00
"EPS (TTM, GAAP)",10.03
Ex-dividend,2022-08-18 00:00:00
Ex-dividend Date,08/18/22
Historical Volatility,0.556
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.21
Prev Close,132.09
Short Interest,0.0239
Today's Open,131.64
Volume,43573.0
Volume 10-day Avg,154462.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.5172413793103448
Growth 1yr High Est,0.5796915167095114
Growth 1yr Consensus Est,0.548466448009928
Growth 2yr Low Est,0.2827115987460814
Growth 2yr High Est,0.41759189342391767
Growth 2yr Consensus Est,0.35015174608499955
Growth 5yr Low Est,0.2827115987460814
Growth 5yr High Est,0.41759189342391767
Growth 5yr Consensus Est,0.35015174608499955
Growth 5yr Actual/Est,0.7673294362931531
Growth 3yr Historic,0.5862411593257648
Price/Earnings (TTM),13.2148
Price/Sales (TTM),1.53181
Price/Book (MRQ),3.59662
Price/Cash Flow (TTM),4.33249
5yr Low,11.81
5yr High,203.14
5yr Avg Return,0.32306666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0592272
Dividend Growth 5yr,
Short Int Current Month,692890.0
Short Int Prev Month,673438.0
Short Int Pct of Float,0.0239286
Days to Cover,3.5829
Float,28.96842
Shares Outstanding,29.2582
Institutions Holding Shares,317.0
FCF Growth 5yr,-0.5910594598773693
"Price/Earnings (TTM, GAAP)",13.21
"PEG Ratio (TTM, GAAP)",1.07
Gross Profit Margin (TTM),0.6114
Operating Profit Margin (TTM),0.19440000000000002
Net Profit Margin (TTM),0.1201
Annual Dividend Yield,0.0174
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.40909999999999996
EPS Growth (TTM),0.616
Revenue Growth (MRQ),0.1635
Revenue Growth (TTM),0.2557
Return On Equity (TTM),0.30510000000000004
Return On Assets (TTM),0.061900000000000004
Return On Investment (TTM),0.069
Revenue Per Employee (TTM),451929.0
Total Debt/Total Capital (MRQ),0.7194
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.11
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-07-23 00:00:00
researchTeam since,2021-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-03 00:00:00
cfra since,
marketEdge opinion since,
