,PPBI
% Below High,0.18539999999999998
% Held by Institutions,0.9481999999999999
52-Wk Range,['27.92 - 44.57']
Annual Dividend $,1.32
Annual Dividend %,0.0358
Ask,36.34
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,36.27
Bid Size,100.0
Day Change $,-0.6125
Day Change %,-0.0166
Day High,36.92
Day Low,36.03
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",3.11
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.32799999999999996
Last (size),3.0
Last (time),11:21a ET 11/28/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.89
Prev Close,36.92
Price,36.31
Short Interest,0.0184
Today's Open,36.59
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.14782608695652177
Growth 1yr High Est,-0.15193370165745868
Growth 1yr Consensus Est,-0.14987989430699022
Growth 2yr Low Est,-0.08581780538302275
Growth 2yr High Est,-0.0661948638580453
Growth 2yr Consensus Est,-0.07600633462053402
Growth 5yr Low Est,0.04935300207039339
Growth 5yr High Est,0.06767776186942698
Growth 5yr Consensus Est,0.058515381969910185
Growth 5yr Actual/Est,0.7267559618342956
Growth 3yr Historic,0.7654487179487179
Price/Earnings (TTM),11.88801
Price/Sales (TTM),4.48593
Price/Book (MRQ),1.28245
Price/Cash Flow (TTM),10.81607
5yr Low,13.93
5yr High,47.46
5yr Avg Return,0.01073333333333334
EPS Growth 5yr,0.1960963
Revenue Growth 5yr,0.3313015
Dividend Growth 5yr,
Short Int Current Month,1716141.0
Short Int Prev Month,2277901.0
Short Int Pct of Float,0.0184219
Days to Cover,5.14474
Float,93.31815
Shares Outstanding,95.01208
Institutions Holding Shares,310.0
FCF Growth 5yr,0.1982849417307632
"Price/Earnings (TTM, GAAP)",11.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5114
Net Profit Margin (TTM),0.3771
Annual Dividend Yield,0.0358
Dividend Change %,0.2524
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.046900000000000004
EPS Growth (TTM),-0.0835
Revenue Growth (MRQ),0.0862
Revenue Growth (TTM),0.038900000000000004
Return On Equity (TTM),0.10460000000000001
Return On Assets (TTM),0.0138
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-11-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
