,XPRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),1.34,2.16,Valuation,0.6203703703703703
Price/Book (MRQ),1.52,3.21,Valuation,0.4735202492211838
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.139,0.1895,Profitability,0.7335092348284961
Operating Profit Margin (TTM),-0.0766,0.0622,Profitability,-1.2315112540192927
Net Profit Margin (TTM),-0.0789,0.011899999999999999,Profitability,-6.630252100840337
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),-3.0768,0.659,Gowth rates,-4.668892261001517
EPS Growth (TTM),0.1752,-0.1462,Gowth rates,-1.198358413132695
Revenue Growth (MRQ),0.0661,0.3728,Gowth rates,0.17730686695278972
Revenue Growth (TTM),2.4706,0.2954,Gowth rates,8.36357481381178
Return On Equity (TTM),-0.1204,0.0775,Effectiveness,-1.5535483870967741
Return On Assets (TTM),-0.0859,0.0348,Effectiveness,-2.4683908045977017
Return On Investment (TTM),-0.10619999999999999,0.1063,Effectiveness,-0.9990592662276574
Revenue Per Employee (TTM),199531.0,673709.0,Effectiveness,0.2961679300706982
Total Debt/Total Capital (MRQ),0.011200000000000002,0.3983,Financial strength,0.028119507908611605
Change in Debt/Total Capital Quarter over Quarter,,0.0006,Financial strength,
Quick Ratio (MRQ),1.74,1.2,Financial strength,1.45
Interest Coverage (MRQ),1.76,15.83,Financial strength,0.11118130132659507
