,XPRO
% Below High,0.127
% Held by Institutions,0.8255
52-Wk Range,['8.83 - 19.68']
Annual Dividend $,
Annual Dividend %,
Ask,19.0
Ask Size,3900.0
B/A Ratio,0.02564102564102564
B/A Size,100x3900
Beta,1.3
Bid,13.65
Bid Size,100.0
Closing Price,17.18
Day Change $,-0.5
Day Change %,-0.028300000000000002
Day High,17.69
Day Low,16.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.3
Ex-dividend Date,No dividend
Historical Volatility,0.66
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.68
Short Interest,0.0318
Today's Open,17.1
Volume,317851.0
Volume 10-day Avg,484698.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.586206896551724
Growth 2yr High Est,3.166666666666667
Growth 2yr Consensus Est,0.2902298850574714
Growth 5yr Low Est,-2.586206896551724
Growth 5yr High Est,3.166666666666667
Growth 5yr Consensus Est,0.2902298850574714
Growth 5yr Actual/Est,1.131439393939394
Growth 3yr Historic,-0.23939393939393938
Price/Earnings (TTM),
Price/Sales (TTM),1.33826
Price/Book (MRQ),1.52327
Price/Cash Flow (TTM),27.39167
5yr Low,8.83
5yr High,58.5
5yr Avg Return,-0.09376666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1111445
Dividend Growth 5yr,
Short Int Current Month,3189732.0
Short Int Prev Month,3252804.0
Short Int Pct of Float,0.0317746
Days to Cover,4.35047
Float,100.4044
Shares Outstanding,108.7424
Institutions Holding Shares,139.0
FCF Growth 5yr,0.19825560587899604
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.139
Operating Profit Margin (TTM),-0.0766
Net Profit Margin (TTM),-0.0789
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.0768
EPS Growth (TTM),0.1752
Revenue Growth (MRQ),0.0661
Revenue Growth (TTM),2.4706
Return On Equity (TTM),-0.1204
Return On Assets (TTM),-0.0859
Return On Investment (TTM),-0.10619999999999999
Revenue Per Employee (TTM),199531.0
Total Debt/Total Capital (MRQ),0.011200000000000002
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.74
Interest Coverage (MRQ),1.76
ford,rating-box
cfra,
researchTeam,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
ford since,2022-11-04 00:00:00
cfra since,
researchTeam since,
newConstructs since,
theStreet since,
marketEdge opinion since,
