,BANF
% Below High,0.12179999999999999
% Held by Institutions,0.5058
52-Wk Range,['62.66 - 118.07']
Annual Dividend $,1.6
Annual Dividend %,0.0154
Ask,161.36
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,90.0
Bid Size,100.0
Closing Price,103.69
Day Change $,2.36
Day Change %,0.0233
Day High,103.89
Day Low,101.13
Dividend Pay Date,2023-01-16 00:00:00
"EPS (TTM, GAAP)",5.22
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.29300000000000004
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.88
Prev Close,101.33
Short Interest,0.0368
Today's Open,101.96
Volume,75520.0
Volume 10-day Avg,73807.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1480730223123734
Growth 1yr High Est,0.18637274549098182
Growth 1yr Consensus Est,0.1672228839016776
Growth 2yr Low Est,0.10142167016678738
Growth 2yr High Est,0.18186880517792336
Growth 2yr Consensus Est,0.14164523767235537
Growth 5yr Low Est,0.10730287488438872
Growth 5yr High Est,0.15125778567353887
Growth 5yr Consensus Est,0.1292803302789638
Growth 5yr Actual/Est,0.17407685245273705
Growth 3yr Historic,0.10435185185185189
Price/Earnings (TTM),19.87674
Price/Sales (TTM),6.54833
Price/Book (MRQ),2.85059
Price/Cash Flow (TTM),17.37084
5yr Low,26.0
5yr High,118.07
5yr Avg Return,0.12689999999999999
EPS Growth 5yr,0.17771350000000002
Revenue Growth 5yr,0.0839205
Dividend Growth 5yr,0.1358245
Short Int Current Month,737249.0
Short Int Prev Month,813145.0
Short Int Pct of Float,0.0368155
Days to Cover,8.01881
Float,19.6554
Shares Outstanding,32.87057
Institutions Holding Shares,266.0
FCF Growth 5yr,0.254316204052508
"Price/Earnings (TTM, GAAP)",19.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4079
Net Profit Margin (TTM),0.3346
Annual Dividend Yield,0.0154
Dividend Change %,0.061500000000000006
"Dividend Growth Rate, 3 Years",0.1406
EPS Growth (MRQ),0.2338
EPS Growth (TTM),0.055400000000000005
Revenue Growth (MRQ),0.2461
Revenue Growth (TTM),0.0974
Return On Equity (TTM),0.1487
Return On Assets (TTM),0.0147
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-24 00:00:00
