,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,58.5,65.7,63.41,63.96,77.38,118.07,,,,,
low,51.05,48.07,49.2,26.0,53.77,71.04,,,,,
change,-0.0725,-0.025400000000000002,0.267,-0.0622,0.1949,0.4596,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,229.0,275.0,289.0,227.0,Balance Sheet
Interest-Earning Deposits,,,,,,,1821.0,3817.0,3590.0,3106.0,Balance Sheet
Fed. Fund/Resale,,,,,,,1.0,3.0,2.0,4.0,Balance Sheet
Securities Held,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Securities for Sale,,,,,,,532.0,1209.0,1204.0,1520.0,Balance Sheet
Total Invest. Securities,,,,,,,535.0,1212.0,1206.0,1522.0,Balance Sheet
Loans Held for Sale,,,,,,,25.0,10.0,7.0,5.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,2381.0,5042.0,4805.0,4637.0,Balance Sheet
Total Gross Loans,,,,,,,6169.0,6494.0,6613.0,6828.0,Balance Sheet
Loan Loss Allowances,,,,,,,-84.0,-87.0,-87.0,-90.0,Balance Sheet
Net Loans,,,,,,,6086.0,6407.0,6526.0,6738.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,274.0,289.0,285.0,284.0,Balance Sheet
"Goodwill, Net",,,,,,,150.0,177.0,184.0,182.0,Balance Sheet
Intangibles - Gross,,,,,,,31.0,40.0,37.0,37.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-13.0,-14.0,-15.0,-16.0,Balance Sheet
Intangibles - Net,,,,,,,18.0,25.0,22.0,21.0,Balance Sheet
Interest Receivable,,,,,,,229.0,370.0,380.0,325.0,Balance Sheet
Other Real Estate Owned,,,,,,,39.0,40.0,39.0,39.0,Balance Sheet
"Other Assets, Total",,,,,,,268.0,410.0,419.0,364.0,Balance Sheet
Total Assets,,,,,,,9406.0,12624.0,12530.0,12452.0,Balance Sheet
Accounts Payable,,,,,,,51.0,111.0,104.0,102.0,Balance Sheet
Accrued Expenses,,,,,,,5.0,5.0,5.0,6.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,3775.0,5216.0,5229.0,5203.0,Balance Sheet
Interest Bearing Deposits,,,,,,,4317.0,6035.0,5914.0,5856.0,Balance Sheet
Total Deposits,,,,,,,8092.0,11251.0,11143.0,11059.0,Balance Sheet
Total ST Borrowings,,,,,,,0.0,3.0,6.0,5.0,Balance Sheet
Total Long Term Debt,,,,,,,86.0,86.0,86.0,86.0,Balance Sheet
Total Debt,,,,,,,86.0,89.0,92.0,91.0,Balance Sheet
Total Liabilities,,,,,,,8234.0,11457.0,11344.0,11257.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,33.0,33.0,33.0,33.0,Balance Sheet
Additional Paid-In Capital,,,,,,,160.0,163.0,165.0,168.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,977.0,1001.0,1034.0,1076.0,Balance Sheet
"Other Equity, Total",,,,,,,2.0,-30.0,-46.0,-82.0,Balance Sheet
Total Equity,,,,,,,1172.0,1168.0,1186.0,1195.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,9406.0,12624.0,12530.0,12452.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,33.0,33.0,33.0,33.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Interest & Fees on Loans,,,,,,,75766.0,72954.0,78726.0,87078.0,Income Statement
Inter & Divs/ Invest Securs,,,,,,,1577.0,3807.0,5165.0,6815.0,Income Statement
Fed. Fund/Resale,,,,,,,,1.0,5.0,24.0,Income Statement
Interest on Deposits,,,,,,,1505.0,1757.0,7600.0,20095.0,Income Statement
"Interest Income, Bank",,,,,,,78848.0,78519.0,91496.0,114012.0,Income Statement
Interest on Deposit,,,,,,,1919.0,1981.0,3586.0,11999.0,Income Statement
Inter on Other Borrowings,,,,,,,1031.0,1031.0,1043.0,1066.0,Income Statement
Total Interest Expense,,,,,,,2950.0,3012.0,4629.0,13065.0,Income Statement
Net Interest Income,,,,,,,75898.0,75507.0,86867.0,100947.0,Income Statement
Loan Loss Provision,,,,,,,-224.0,2936.0,501.0,2863.0,Income Statement
NetInterIn after Loan Loss Provision,,,,,,,76122.0,72571.0,86366.0,98084.0,Income Statement
Fees & Commish from Operat,,,,,,,25431.0,24881.0,25567.0,26286.0,Income Statement
Fees for Other Cust Serv,,,,,,,3115.0,3131.0,4447.0,5624.0,Income Statement
Invest Securities Gains,,,,,,,630.0,-3915.0,0.0,966.0,Income Statement
Other Unusual Income,,,,,,,16.0,45.0,118.0,53.0,Income Statement
Other Revenue,,,,,,,16501.0,19508.0,12466.0,16402.0,Income Statement
"Non-Interest Income, Bank",,,,,,,45693.0,43650.0,42598.0,49331.0,Income Statement
Labor & Related Expenses,,,,,,,-42887.0,-43932.0,-45284.0,-47741.0,Income Statement
Depreciation Expense,,,,,,,-4708.0,-4775.0,-4647.0,-4612.0,Income Statement
Amortization of Intangibles,,,,,,,-759.0,-831.0,-857.0,-880.0,Income Statement
Real Estate Operat Expnse,,,,,,,-2412.0,-1794.0,510.0,-2392.0,Income Statement
Other Expense,,,,,,,-26015.0,-21180.0,-23439.0,-23453.0,Income Statement
"Non-Interest Expense, Bank",,,,,,,-76781.0,-72512.0,-73717.0,-79078.0,Income Statement
Income Before Tax,,,,,,,45034.0,43709.0,55247.0,68337.0,Income Statement
Income Tax - Total,,,,,,,6866.0,7794.0,10540.0,12985.0,Income Statement
Income After Tax,,,,,,,38168.0,35915.0,44707.0,55352.0,Income Statement
Net Inc Before Extra Items,,,,,,,38168.0,35915.0,44707.0,55352.0,Income Statement
Total Net Income,,,,,,,38168.0,35915.0,44707.0,55352.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,38168.0,35915.0,44707.0,55352.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,38168.0,35915.0,44707.0,55352.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,32584.0,32667.0,32750.0,32826.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.17,1.1,1.37,1.69,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.17,1.1,1.37,1.69,Income Statement
Diluted Weighted Average Shares,,,,,,,33180.0,33315.0,33418.0,33537.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.15,1.08,1.34,1.65,Income Statement
