,PNC
% Above Low,0.1462
% Held by Institutions,0.8159000000000001
52-Wk Range,['143.52 - 228.14']
Annual Dividend $,6.0
Annual Dividend %,0.0358
Ask,164.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,164.41
Bid Size,100.0
Day Change $,-3.15
Day Change %,-0.018799999999999997
Day High,166.77
Day Low,164.28
Dividend Pay Date,2022-11-05 00:00:00
"EPS (TTM, GAAP)",13.24
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.302
Last (size),122.0
Last (time),11:08a ET 11/28/22
Market Cap,66.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.66
Prev Close,167.65
Price,164.5
Short Interest,0.013300000000000001
Today's Open,166.04
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.28911253430924067
Growth 1yr High Est,0.06186317321688506
Growth 1yr Consensus Est,0.17548785376306286
Growth 2yr Low Est,0.022483875387409535
Growth 2yr High Est,0.12311801566944325
Growth 2yr Consensus Est,0.07280094552842639
Growth 5yr Low Est,0.02924784670260125
Growth 5yr High Est,0.12709647307241984
Growth 5yr Consensus Est,0.07817215988751054
Growth 5yr Actual/Est,0.1205226843095488
Growth 3yr Historic,0.05946155391190547
Price/Earnings (TTM),12.65959
Price/Sales (TTM),3.30094
Price/Book (MRQ),1.45071
Price/Cash Flow (TTM),10.00539
5yr Low,79.41
5yr High,228.14
5yr Avg Return,0.05375
EPS Growth 5yr,0.1163279
Revenue Growth 5yr,0.029001000000000002
Dividend Growth 5yr,0.17755469999999998
Short Int Current Month,5333866.0
Short Int Prev Month,6669475.0
Short Int Pct of Float,0.0132775
Days to Cover,2.07104
Float,401.9395
Shares Outstanding,403.319
Institutions Holding Shares,1788.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",12.66
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3542
Net Profit Margin (TTM),0.2866
Annual Dividend Yield,0.0358
Dividend Change %,0.0435
"Dividend Growth Rate, 3 Years",0.1218
EPS Growth (MRQ),0.1164
EPS Growth (TTM),0.0097
Revenue Growth (MRQ),0.2594
Revenue Growth (TTM),0.2391
Return On Equity (TTM),0.1073
Return On Assets (TTM),0.0105
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-04-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-14 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
