,RNG
% Above Low,0.24910000000000002
% Held by Institutions,0.9786
52-Wk Range,['28.00 - 226.70']
Annual Dividend $,
Annual Dividend %,
Ask,35.01
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,34.97
Bid Size,100.0
Day Change $,-0.625
Day Change %,-0.0176
Day High,36.75
Day Low,34.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-7.52
Ex-dividend Date,No dividend
Historical Volatility,0.7959999999999999
Last (size),10.0
Last (time),1:02p ET 11/28/22
Market Cap,3.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,35.6
Price,34.98
Short Interest,0.0786
Today's Open,35.02
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.4769230769230768
Growth 1yr High Est,0.4888888888888887
Growth 1yr Consensus Est,0.48290598290598274
Growth 2yr Low Est,0.3712740384615385
Growth 2yr High Est,0.5056384742951907
Growth 2yr Consensus Est,0.4384562563783646
Growth 5yr Low Est,0.3530847481420886
Growth 5yr High Est,0.39238771514120246
Growth 5yr Consensus Est,0.37273623164164554
Growth 5yr Actual/Est,0.3660808136339885
Growth 3yr Historic,0.14061722249875563
Price/Earnings (TTM),
Price/Sales (TTM),1.78782
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,28.0
5yr High,449.0
5yr Avg Return,0.2795166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.3319331
Dividend Growth 5yr,
Short Int Current Month,6658781.0
Short Int Prev Month,6633748.0
Short Int Pct of Float,0.0786265
Days to Cover,2.21065
Float,84.96448
Shares Outstanding,96.02424
Institutions Holding Shares,531.0
FCF Growth 5yr,-0.033647851177357545
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6772
Operating Profit Margin (TTM),-0.2588
Net Profit Margin (TTM),-0.37310000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7759
EPS Growth (TTM),-1.6499000000000001
Revenue Growth (MRQ),0.0455
Revenue Growth (TTM),0.2913
Return On Equity (TTM),
Return On Assets (TTM),-0.3333
Return On Investment (TTM),-0.45060000000000006
Revenue Per Employee (TTM),487900.0
Total Debt/Total Capital (MRQ),1.0285
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),-2.32
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-05 00:00:00
theStreet since,2021-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-11 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
