,RNG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.79,9.39,Valuation,0.1906283280085197
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6772,0.7206,Profitability,0.9397724118789897
Operating Profit Margin (TTM),-0.2588,0.2172,Profitability,-1.1915285451197053
Net Profit Margin (TTM),-0.37310000000000004,0.1553,Profitability,-2.4024468770122347
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.7759,-0.0752,Gowth rates,10.31781914893617
EPS Growth (TTM),-1.6499000000000001,-0.2824,Gowth rates,5.842422096317281
Revenue Growth (MRQ),0.0455,0.15560000000000002,Gowth rates,0.29241645244215936
Revenue Growth (TTM),0.2913,0.1906,Gowth rates,1.5283315844700944
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-0.3333,0.10740000000000001,Effectiveness,-3.103351955307262
Return On Investment (TTM),-0.45060000000000006,0.1387,Effectiveness,-3.248738284066331
Revenue Per Employee (TTM),487900.0,667721.0,Effectiveness,0.7306944067956527
Total Debt/Total Capital (MRQ),1.0285,0.39659999999999995,Financial strength,2.5932929904185578
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0004,Financial strength,0.25
Quick Ratio (MRQ),1.21,1.0,Financial strength,1.21
Interest Coverage (MRQ),-2.32,0.28,Financial strength,-8.285714285714285
