,SF
% Above Low,0.28190000000000004
% Held by Institutions,0.8484999999999999
52-Wk Range,['49.31 - 83.28']
Annual Dividend $,1.2
Annual Dividend %,0.018500000000000003
Ask,63.23
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,63.2
Bid Size,100.0
Day Change $,-1.51
Day Change %,-0.0233
Day High,64.43
Day Low,63.2
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.01
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.38200000000000006
Last (size),100.0
Last (time),1:59p ET 11/28/22
Market Cap,6.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.77
Prev Close,64.72
Price,63.21
Short Interest,0.0123
Today's Open,64.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.10843373493975905
Growth 1yr High Est,-0.09104046242774566
Growth 1yr Consensus Est,-0.09973709868375236
Growth 2yr Low Est,-0.03141281341582547
Growth 2yr High Est,0.10233350487515736
Growth 2yr Consensus Est,0.03546034572966594
Growth 5yr Low Est,0.022488037736531685
Growth 5yr High Est,0.09588566214797051
Growth 5yr Consensus Est,0.059186849942251096
Growth 5yr Actual/Est,0.17263927346626026
Growth 3yr Historic,0.16825617483512217
Price/Earnings (TTM),10.77243
Price/Sales (TTM),1.47356
Price/Book (MRQ),1.5135
Price/Cash Flow (TTM),8.84188
5yr Low,20.75
5yr High,83.28
5yr Avg Return,0.13
EPS Growth 5yr,0.5843098
Revenue Growth 5yr,0.1260117
Dividend Growth 5yr,
Short Int Current Month,1261875.0
Short Int Prev Month,1577742.0
Short Int Pct of Float,0.012261200000000002
Days to Cover,1.93391
Float,103.1313
Shares Outstanding,106.2806
Institutions Holding Shares,447.0
FCF Growth 5yr,-1.6940879568802902
"Price/Earnings (TTM, GAAP)",10.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9872
Operating Profit Margin (TTM),0.2078
Net Profit Margin (TTM),0.16
Annual Dividend Yield,0.018500000000000003
Dividend Change %,0.3235
"Dividend Growth Rate, 3 Years",0.2331
EPS Growth (MRQ),-0.0622
EPS Growth (TTM),-0.011399999999999999
Revenue Growth (MRQ),-0.0183
Revenue Growth (TTM),0.0268
Return On Equity (TTM),0.1641
Return On Assets (TTM),0.021800000000000003
Return On Investment (TTM),0.12029999999999999
Revenue Per Employee (TTM),542782.0
Total Debt/Total Capital (MRQ),0.8484
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.44
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-07-01 00:00:00
theStreet since,2020-09-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-27 00:00:00
ford since,2022-07-01 00:00:00
marketEdge opinion since,
