,DIN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.84,114.03,Valuation,0.12137156888538103
Price/Sales (TTM),1.25,5.62,Valuation,0.22241992882562278
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",2.18,0.53,Valuation,4.113207547169812
Gross Profit Margin (TTM),0.4073,0.4054,Profitability,1.0046867291563888
Operating Profit Margin (TTM),0.1331,0.163,Profitability,0.8165644171779141
Net Profit Margin (TTM),0.0962,0.0779,Profitability,1.2349165596919127
Annual Dividend Yield,0.0275,0.011200000000000002,Dividend,2.4553571428571423
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.0868,0.3309,Gowth rates,-0.26231489876095493
EPS Growth (TTM),0.21789999999999998,2.1359,Gowth rates,0.10201788473243129
Revenue Growth (MRQ),-0.0192,0.38439999999999996,Gowth rates,-0.04994797086368366
Revenue Growth (TTM),0.07940000000000001,0.7695000000000001,Gowth rates,0.103183885640026
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.046,0.0758,Effectiveness,0.6068601583113455
Return On Investment (TTM),0.0591,0.1005,Effectiveness,0.5880597014925373
Revenue Per Employee (TTM),264433.0,285753.0,Effectiveness,0.9253901096401438
Total Debt/Total Capital (MRQ),1.2627,1.1596,Financial strength,1.088909968954812
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.002,Financial strength,0.1
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),2.96,40.22,Financial strength,0.07359522625559423
