,QTRX
% Above Low,0.9073000000000001
% Held by Institutions,0.7992
52-Wk Range,['6.31 - 44.86']
Annual Dividend $,
Annual Dividend %,
Ask,12.08
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,11.96
Bid Size,200.0
Day Change $,0.285
Day Change %,0.024300000000000002
Day High,12.06
Day Low,11.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.66
Ex-dividend Date,No dividend
Historical Volatility,1.165
Last (size),10.0
Last (time),12:08p ET 11/28/22
Market Cap,444.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.75
Price,12.04
Short Interest,0.035
Today's Open,11.67
Volume Past Day,(Light)
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),3.96
Price/Book (MRQ),1.17
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.45890000000000003
Operating Profit Margin (TTM),-0.9059999999999999
Net Profit Margin (TTM),-0.8923000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.405
EPS Growth (TTM),-0.9575
Revenue Growth (MRQ),0.13390000000000002
Revenue Growth (TTM),0.0337
Return On Equity (TTM),-0.237
Return On Assets (TTM),-0.20500000000000002
Return On Investment (TTM),-0.2186
Revenue Per Employee (TTM),239098.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),12.9
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2019-03-11 00:00:00
theStreet since,2019-03-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
