,QTRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),3.96,6.06,Valuation,0.6534653465346535
Price/Book (MRQ),1.17,6.22,Valuation,0.18810289389067525
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.45890000000000003,0.5095000000000001,Profitability,0.9006869479882237
Operating Profit Margin (TTM),-0.9059999999999999,0.0332,Profitability,-27.28915662650602
Net Profit Margin (TTM),-0.8923000000000001,-0.0454,Profitability,19.654185022026432
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.405,-0.5094,Gowth rates,0.795053003533569
EPS Growth (TTM),-0.9575,-0.2377,Gowth rates,4.028186790071519
Revenue Growth (MRQ),0.13390000000000002,0.1691,Gowth rates,0.7918391484328801
Revenue Growth (TTM),0.0337,0.1222,Gowth rates,0.27577741407528644
Return On Equity (TTM),-0.237,1.1042,Effectiveness,-0.2146350298858902
Return On Assets (TTM),-0.20500000000000002,0.0644,Effectiveness,-3.1832298136645965
Return On Investment (TTM),-0.2186,0.0802,Effectiveness,-2.7256857855361596
Revenue Per Employee (TTM),239098.0,335561.0,Effectiveness,0.7125321476572068
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0252,Financial strength,-0.3968253968253968
Quick Ratio (MRQ),12.9,1.51,Financial strength,8.543046357615895
Interest Coverage (MRQ),,33.07,Financial strength,
