,BBWI
Price/Earnings (TTM),10.56038
Price/Sales (TTM),1.19726
Price/Book (MRQ),
Price/Cash Flow (TTM),8.98584
5yr Low,8.0
5yr High,82.0
5yr Avg Return,0.13081666666666666
EPS Growth 5yr,-0.0021021
Revenue Growth 5yr,-0.08917989999999999
Dividend Growth 5yr,-0.28451550000000003
Short Int Current Month,16183761.0
Short Int Prev Month,15659429.0
Short Int Pct of Float,0.0727905
Days to Cover,4.00094
Float,222.3704
Shares Outstanding,228.3743
Institutions Holding Shares,678.0
% Held by Institutions,0.9361119999999999
FCF Growth 5yr,1.6375997994981675
