,BBWI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.56,19.03,Valuation,0.5549132947976878
Price/Sales (TTM),1.2,1.93,Valuation,0.6217616580310881
Price/Book (MRQ),,92.12,Valuation,
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.4484,0.34390000000000004,Profitability,1.3038674033149171
Operating Profit Margin (TTM),0.20809999999999998,0.11789999999999999,Profitability,1.7650551314673453
Net Profit Margin (TTM),0.1244,0.0818,Profitability,1.5207823960880196
Annual Dividend Yield,0.0198,0.016200000000000003,Dividend,1.222222222222222
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",-0.4276,0.09390000000000001,Dividend,-4.55378061767838
EPS Growth (MRQ),-0.2353,-0.10800000000000001,Gowth rates,2.1787037037037034
EPS Growth (TTM),0.0308,0.0262,Gowth rates,1.1755725190839694
Revenue Growth (MRQ),-0.0084,0.0478,Gowth rates,-0.17573221757322174
Revenue Growth (TTM),0.017,0.0874,Gowth rates,0.1945080091533181
Return On Equity (TTM),,5.2054,Effectiveness,
Return On Assets (TTM),,0.1562,Effectiveness,
Return On Investment (TTM),,0.26,Effectiveness,
Revenue Per Employee (TTM),875052.0,410011.0,Effectiveness,2.134215911280429
Total Debt/Total Capital (MRQ),,0.8926999999999999,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0073,0.0016,Financial strength,4.5625
Quick Ratio (MRQ),,0.39,Financial strength,
Interest Coverage (MRQ),2.33,13.36,Financial strength,0.17440119760479042
