,BBWI
% Above Low,0.5678
% Held by Institutions,0.9361
52-Wk Range,['25.75 - 77.91']
Annual Dividend $,0.8
Annual Dividend %,0.019799999999999998
Ask,40.49
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,40.4
Bid Size,100.0
Closing Price,40.37
Day Change $,-0.03
Day Change %,-0.0007000000000000001
Day High,40.43
Day Low,39.57
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.82
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.6020000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,9.2B
"P/E Ratio (TTM, GAAP)",10.56
Prev Close,40.4
Short Interest,0.0728
Today's Open,40.17
Volume,1958446.0
Volume 10-day Avg,6606081.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.31818181818181823
Growth 1yr High Est,-0.27192982456140347
Growth 1yr Consensus Est,-0.29505582137161085
Growth 2yr Low Est,-0.1390909090909091
Growth 2yr High Est,-0.004940815895159489
Growth 2yr Consensus Est,-0.0720158624930343
Growth 5yr Low Est,0.27504914004914005
Growth 5yr High Est,0.22252959205242023
Growth 5yr Consensus Est,0.24878936605078017
Growth 5yr Actual/Est,0.17180941683568146
Growth 3yr Historic,0.2031873376953096
Price/Earnings (TTM),10.56038
Price/Sales (TTM),1.19726
Price/Book (MRQ),
Price/Cash Flow (TTM),8.98584
5yr Low,8.0
5yr High,82.0
5yr Avg Return,0.13081666666666666
EPS Growth 5yr,-0.0021021
Revenue Growth 5yr,-0.08917989999999999
Dividend Growth 5yr,-0.28451550000000003
Short Int Current Month,16183761.0
Short Int Prev Month,15659429.0
Short Int Pct of Float,0.0727905
Days to Cover,4.00094
Float,222.3704
Shares Outstanding,228.3743
Institutions Holding Shares,678.0
FCF Growth 5yr,1.6375997994981675
"Price/Earnings (TTM, GAAP)",10.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4484
Operating Profit Margin (TTM),0.20809999999999998
Net Profit Margin (TTM),0.1244
Annual Dividend Yield,0.0198
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.4276
EPS Growth (MRQ),-0.2353
EPS Growth (TTM),0.0308
Revenue Growth (MRQ),-0.0084
Revenue Growth (TTM),0.017
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),875052.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0073
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.33
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
