,STNG
% Below High,0.0654
% Held by Institutions,0.5529999999999999
52-Wk Range,['11.02 - 54.24']
Annual Dividend $,0.4
Annual Dividend %,0.0076
Ask,50.72
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,50.68
Bid Size,100.0
Day Change $,-1.88
Day Change %,-0.0358
Day High,51.75
Day Low,50.6
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.85
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.578
Last (size),100.0
Last (time),3:31p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.84
Prev Close,52.57
Price,50.69
Short Interest,0.0924
Today's Open,51.68
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-3.262910798122066
Growth 1yr High Est,-4.019370460048426
Growth 1yr Consensus Est,-3.641140629085246
Growth 2yr Low Est,-2.0251275982311574
Growth 2yr High Est,-2.081858445741936
Growth 2yr Consensus Est,-2.0534930219865464
Growth 5yr Low Est,-2.549272057357357
Growth 5yr High Est,-2.2854466141011813
Growth 5yr Consensus Est,-2.417359335729269
Growth 5yr Actual/Est,-2.5576188124082515
Growth 3yr Historic,-1.5533231514640826
Price/Earnings (TTM),10.84208
Price/Sales (TTM),2.43168
Price/Book (MRQ),1.39504
Price/Cash Flow (TTM),5.4543
5yr Low,8.28
5yr High,54.24
5yr Avg Return,0.52155
EPS Growth 5yr,
Revenue Growth 5yr,0.006808300000000001
Dividend Growth 5yr,-0.3965824
Short Int Current Month,4475835.0
Short Int Prev Month,5106259.0
Short Int Pct of Float,0.0923746
Days to Cover,3.2743
Float,48.45307
Shares Outstanding,56.29467
Institutions Holding Shares,256.0
FCF Growth 5yr,0.0
"Price/Earnings (TTM, GAAP)",10.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7349
Operating Profit Margin (TTM),0.3931
Net Profit Margin (TTM),0.2686
Annual Dividend Yield,0.0076
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.428
EPS Growth (TTM),1.9974
Revenue Growth (MRQ),0.2096
Revenue Growth (TTM),1.2915
Return On Equity (TTM),0.1632
Return On Assets (TTM),0.0675
Return On Investment (TTM),0.0752
Revenue Per Employee (TTM),46808620.0
Total Debt/Total Capital (MRQ),0.5351
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),7.55
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-03 00:00:00
theStreet since,2022-11-03 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
