,RS
% Below High,0.0206
% Held by Institutions,0.8286
52-Wk Range,['145.79 - 215.10']
Annual Dividend $,3.5
Annual Dividend %,0.0165
Ask,210.98
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,210.71
Bid Size,200.0
Day Change $,-1.08
Day Change %,-0.0051
Day High,212.24
Day Low,209.55
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",30.58
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.34299999999999997
Last (size),1.0
Last (time),1:18p ET 11/28/22
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.93
Prev Close,211.75
Price,210.67
Short Interest,0.0098
Today's Open,209.55
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.9361997226074896
Growth 1yr High Est,2.482381530984204
Growth 1yr Consensus Est,2.7092906267958465
Growth 2yr Low Est,1.2676065561592769
Growth 2yr High Est,1.1044147710747956
Growth 2yr Consensus Est,1.1860106636170362
Growth 5yr Low Est,0.845071037439518
Growth 5yr High Est,0.7362765140498637
Growth 5yr Consensus Est,0.7906737757446907
Growth 5yr Actual/Est,0.39283905989631984
Growth 3yr Historic,0.39879850328769934
Price/Earnings (TTM),6.925
Price/Sales (TTM),0.71412
Price/Book (MRQ),1.82539
Price/Cash Flow (TTM),5.77473
5yr Low,68.62
5yr High,215.1
5yr Avg Return,0.21161666666666665
EPS Growth 5yr,0.3947543
Revenue Growth 5yr,0.10348800000000001
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,571504.0
Short Int Prev Month,805902.0
Short Int Pct of Float,0.0098192
Days to Cover,1.30071
Float,58.22329
Shares Outstanding,58.6909
Institutions Holding Shares,607.0
FCF Growth 5yr,0.39371079093562383
"Price/Earnings (TTM, GAAP)",6.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.30870000000000003
Operating Profit Margin (TTM),0.1502
Net Profit Margin (TTM),0.1101
Annual Dividend Yield,0.0165
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.11199999999999999
EPS Growth (MRQ),-0.2949
EPS Growth (TTM),0.7613
Revenue Growth (MRQ),-0.09269999999999999
Revenue Growth (TTM),0.42200000000000004
Return On Equity (TTM),0.3008
Return On Assets (TTM),0.19690000000000002
Return On Investment (TTM),0.226
Revenue Per Employee (TTM),1270285.0
Total Debt/Total Capital (MRQ),0.1938
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.78
Interest Coverage (MRQ),35.16
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2020-05-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
