,GFS
% Below High,0.1495
% Held by Institutions,1.021
52-Wk Range,['36.81 - 79.49']
Annual Dividend $,
Annual Dividend %,
Ask,67.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,66.07
Bid Size,200.0
Closing Price,67.61
Day Change $,0.03
Day Change %,0.0004
Day High,68.0
Day Low,66.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.52
Ex-dividend Date,No dividend
Historical Volatility,0.621
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,36.5B
"P/E Ratio (TTM, GAAP)",44.39
Prev Close,67.58
Short Interest,0.0225
Today's Open,67.04
Volume,452057.0
Volume 10-day Avg,1971764.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.43534482758620685
Growth 2yr High Est,-0.0684039087947883
Growth 2yr Consensus Est,-0.2518743681904976
Growth 5yr Low Est,-0.43534482758620685
Growth 5yr High Est,-0.0684039087947883
Growth 5yr Consensus Est,-0.2518743681904976
Growth 5yr Actual/Est,-29.699656357388317
Growth 3yr Historic,0.0
Price/Earnings (TTM),44.38915
Price/Sales (TTM),4.69224
Price/Book (MRQ),4.03676
Price/Cash Flow (TTM),18.50019
5yr Low,36.81
5yr High,79.49
5yr Avg Return,0.21049999999999996
Short Int Current Month,12246913.0
Short Int Prev Month,12965302.0
Short Int Pct of Float,0.0225344
Days to Cover,4.60719
Float,543.5078
Shares Outstanding,545.073
Institutions Holding Shares,295.0
FCF Growth 5yr,-22.605564424103175
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",44.39
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2547
Operating Profit Margin (TTM),0.1229
Net Profit Margin (TTM),0.10439999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2696
EPS Growth (TTM),
Revenue Growth (MRQ),0.0406
Revenue Growth (TTM),
Return On Equity (TTM),0.1059
Return On Assets (TTM),0.055
Return On Investment (TTM),0.0698
Revenue Per Employee (TTM),537938.0
Total Debt/Total Capital (MRQ),0.1962
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),32.45
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
