,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,73.25,79.49,,,,,
low,44.48,36.81,,,,,
change,0.3823,0.038700000000000005,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,2939.0,3264.0,2474.0,2541.0,Balance Sheet
Short Term Investments,,,23.0,,525.0,567.0,Balance Sheet
Cash and Short Term Invs,,,2962.0,3264.0,2999.0,3108.0,Balance Sheet
"Total Receivables, Net",,,1208.0,1210.0,1247.0,1169.0,Balance Sheet
Total Inventory,,,1121.0,1185.0,1262.0,1342.0,Balance Sheet
Total Current Assets,,,5291.0,5659.0,5508.0,5619.0,Balance Sheet
Prop./Plant/Equip. - Net,,,8713.0,9173.0,9410.0,10218.0,Balance Sheet
Intangibles - Net,,,377.0,,,,Balance Sheet
LT Invt. - Affiliate Comp.,,,38.0,,,,Balance Sheet
LT Investments - Other,,,2.0,,,365.0,Balance Sheet
Long Term Investments,,,40.0,,,365.0,Balance Sheet
Note Rcvble - Long Term,,,254.0,,,,Balance Sheet
Other Long Term Assets,,,,733.0,963.0,704.0,Balance Sheet
Total Assets,,,15028.0,15902.0,16194.0,17208.0,Balance Sheet
Accounts Payable,,,551.0,,,,Balance Sheet
Accrued Expenses,,,602.0,,,,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,432.0,281.0,262.0,244.0,Balance Sheet
Customer Advances,,,871.0,,,,Balance Sheet
Other Payables,,,472.0,,,,Balance Sheet
Other Current Liabilities,,,234.0,3039.0,3051.0,3628.0,Balance Sheet
"Other Curr. Lblts, Total",,,1577.0,3039.0,3051.0,3628.0,Balance Sheet
Total Current Liabilities,,,3163.0,3320.0,3313.0,3872.0,Balance Sheet
Long Term Debt,,,1716.0,1830.0,1908.0,1972.0,Balance Sheet
Capital Lease Obligations,,,291.0,,,,Balance Sheet
Total Long Term Debt,,,2006.0,1830.0,1908.0,1972.0,Balance Sheet
Total Debt,,,2439.0,2111.0,2170.0,2216.0,Balance Sheet
Deferred Income Tax,,,2.0,,,,Balance Sheet
Minority Interest,,,58.0,,51.0,41.0,Balance Sheet
Reserves,,,233.0,,,,Balance Sheet
Other LT Liabilities,,,1590.0,2413.0,2315.0,2283.0,Balance Sheet
"Other Liabilities, Total",,,1823.0,2413.0,2315.0,2283.0,Balance Sheet
Total Liabilities,,,7052.0,7563.0,7587.0,8168.0,Balance Sheet
Common Stock,,,11.0,23551.0,23684.0,23777.0,Balance Sheet
Additional Paid-In Capital,,,23487.0,-15290.0,,,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-15469.0,,-15026.0,-14689.0,Balance Sheet
Other Equity,,,0.0,78.0,,,Balance Sheet
Other Comprehensive Income,,,-54.0,,-51.0,-48.0,Balance Sheet
"Other Equity, Total",,,-54.0,78.0,-51.0,-48.0,Balance Sheet
Total Equity,,,7976.0,8339.0,8607.0,9040.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,15028.0,15902.0,16194.0,17208.0,Balance Sheet
Ttl Comm. Shares Outs.,,,532.0,532.0,540.0,540.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,1847.0,1940.0,1993.0,2074.0,Income Statement
"Cost of Revenue, Total",,,1464.0,1471.0,1455.0,1464.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,168.0,116.0,121.0,129.0,Income Statement
Research & Development,,,130.0,128.0,120.0,124.0,Income Statement
Total Operating Expense,,,1761.0,1715.0,1696.0,1717.0,Income Statement
Total Operating Income,,,86.0,225.0,297.0,357.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,-24.0,-28.0,-19.0,-11.0,Income Statement
OtherNon-OperatInc (Expnse),,,6.0,10.0,16.0,9.0,Income Statement
"Other, Net",,,6.0,10.0,16.0,9.0,Income Statement
Income Before Tax,,,68.0,207.0,294.0,355.0,Income Statement
Income Tax - Total,,,26.0,29.0,30.0,19.0,Income Statement
Income After Tax,,,42.0,178.0,264.0,336.0,Income Statement
Minority Interest,,,2.0,,,1.0,Income Statement
Net Inc Before Extra Items,,,44.0,178.0,264.0,337.0,Income Statement
Total Net Income,,,44.0,178.0,264.0,337.0,Income Statement
Income Available to Common Excl. Extra. Items,,,44.0,178.0,264.0,337.0,Income Statement
Income Available to Common Incl. Extra. Items,,,44.0,178.0,264.0,337.0,Income Statement
Basic/Primary Weighted Average Shares,,,471.0,524.0,535.0,543.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.09,0.34,0.49,0.62,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.09,0.34,0.49,0.62,Income Statement
Diluted Weighted Average Shares,,,471.0,524.0,550.0,553.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.09,0.34,0.48,0.61,Income Statement
Diluted EPS Incl. Extra. Items,,,0.09,0.34,0.48,0.61,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,408.0,411.0,395.0,Income Statement
Total Special Items,,,,0.0,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,68.0,207.0,294.0,355.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,26.0,29.0,30.0,19.0,Income Statement
Normalized Income After Tax,,,42.0,178.0,264.0,336.0,Income Statement
Normalzd Inc Avail to Common,,,44.0,178.0,264.0,337.0,Income Statement
Basic Normalized EPS,,,0.09,0.34,0.49,0.62,Income Statement
Diluted Normalized EPS,,,0.09,0.34,0.48,0.61,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-254.0,178.0,442.0,778.0,Cash Flow
Depreciation/Depletion,,,1411.0,408.0,819.0,1214.0,Cash Flow
Amortization,,,207.0,,,,Cash Flow
Deferred Taxes,,,93.0,19.0,41.0,52.0,Cash Flow
Unusual Items,,,-19.0,,,,Cash Flow
Other Non-Cash Items,,,298.0,51.0,64.0,38.0,Cash Flow
Non-Cash Items,,,279.0,51.0,64.0,38.0,Cash Flow
"Cash Interest Pd, Suppl",,,101.0,,,,Cash Flow
Accounts Receivable,,,-387.0,,,,Cash Flow
Inventories,,,-202.0,,,,Cash Flow
Payable/Accrued,,,1829.0,,,,Cash Flow
Changes in Working Capital,,,1102.0,189.0,88.0,51.0,Cash Flow
Total Cash from Operations,,,2839.0,845.0,1454.0,2133.0,Cash Flow
Purchase of Fixed Assets,,,-1662.0,-643.0,-1455.0,-2068.0,Cash Flow
Purchase/Acq of Intangibles,,,-105.0,,,,Cash Flow
Capital Expenditures,,,-1766.0,-643.0,-1455.0,-2068.0,Cash Flow
Sale of Business,,,0.0,,,,Cash Flow
Sale of Fixed Assets,,,324.0,,,,Cash Flow
Other Investing Cash Flow,,,-8.0,4.0,-788.0,-939.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,316.0,4.0,-788.0,-939.0,Cash Flow
Total Cash from Investing,,,-1450.0,-639.0,-2243.0,-3007.0,Cash Flow
Financing Cash Flow Items,,,117.0,11.0,94.0,156.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,1444.0,,,,Cash Flow
Long Term Debt Issued,,,617.0,107.0,231.0,326.0,Cash Flow
Long Term Debt Reduction,,,-1528.0,0.0,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-911.0,107.0,231.0,326.0,Cash Flow
Total Cash From Financing,,,650.0,118.0,325.0,482.0,Cash Flow
Foreign Exchange Effects,,,-8.0,1.0,-1.0,-6.0,Cash Flow
Net Change in Cash,,,2031.0,325.0,-465.0,-398.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,908.0,2939.0,2939.0,2939.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,2939.0,3264.0,2474.0,2541.0,Cash Flow
"Depreciation, Supplemental",,,1411.0,408.0,819.0,1214.0,Cash Flow
Free Cash Flow,,,1073.0,202.0,-1.0,65.0,
FCF Growth,,,,-0.8117427772600186,-1.004950495049505,-66.0,
