,ACGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.81,19.61,Valuation,0.9592044875063742
Price/Sales (TTM),2.49,2.33,Valuation,1.0686695278969958
Price/Book (MRQ),1.98,3.82,Valuation,0.518324607329843
"PEG Ratio (TTM, GAAP)",1.08,37.63,Valuation,0.028700504916290195
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.11720000000000001,0.1342,Profitability,0.8733233979135618
Net Profit Margin (TTM),0.13369999999999999,0.1081,Profitability,1.2368177613320999
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-0.9823000000000001,-0.0779,Gowth rates,12.609756097560977
EPS Growth (TTM),-0.3699,-0.005200000000000001,Gowth rates,71.13461538461537
Revenue Growth (MRQ),0.1151,0.0897,Gowth rates,1.2831661092530657
Revenue Growth (TTM),-0.023700000000000002,0.042800000000000005,Gowth rates,-0.5537383177570093
Return On Equity (TTM),0.102,0.3775,Effectiveness,0.27019867549668874
Return On Assets (TTM),0.0256,0.031200000000000002,Effectiveness,0.8205128205128205
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1675629.0,1261907.0,Effectiveness,1.3278545883333717
Total Debt/Total Capital (MRQ),0.18760000000000002,0.38939999999999997,Financial strength,0.4817668207498717
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0019,Financial strength,-0.15789473684210525
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.36,Financial strength,
