,ACGL
% Below High,0.0069
% Held by Institutions,0.9086
52-Wk Range,['40.24 - 59.14']
Annual Dividend $,
Annual Dividend %,
Ask,58.95
Ask Size,2300.0
B/A Ratio,0.043478260869565216
B/A Size,100x2300
Beta,0.8
Bid,58.52
Bid Size,100.0
Closing Price,58.73
Day Change $,0.68
Day Change %,0.011699999999999999
Day High,58.9
Day Low,58.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.12
Ex-dividend Date,No dividend
Historical Volatility,0.281
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,21.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.81
Prev Close,58.05
Short Interest,0.025
Today's Open,58.21
Volume,614807.0
Volume 10-day Avg,1849460.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.4444444444444444
Growth 1yr High Est,0.48214285714285743
Growth 1yr Consensus Est,0.4632936507936509
Growth 2yr Low Est,0.3632478632478633
Growth 2yr High Est,0.46396299483648884
Growth 2yr Consensus Est,0.41360542904217606
Growth 5yr Low Est,0.18162393162393164
Growth 5yr High Est,0.23198149741824442
Growth 5yr Consensus Est,0.20680271452108803
Growth 5yr Actual/Est,0.40157631222133683
Growth 3yr Historic,0.27865561118064247
Price/Earnings (TTM),18.81057
Price/Sales (TTM),2.49305
Price/Book (MRQ),1.97812
Price/Cash Flow (TTM),17.54829
5yr Low,20.93
5yr High,59.14
5yr Avg Return,0.14045
EPS Growth 5yr,0.24100339999999998
Revenue Growth 5yr,0.14850529999999998
Dividend Growth 5yr,
Short Int Current Month,8950504.0
Short Int Prev Month,4012049.0
Short Int Pct of Float,0.0250008
Days to Cover,2.40169
Float,358.4983
Shares Outstanding,369.873
Institutions Holding Shares,708.0
FCF Growth 5yr,0.5876086766845551
"Price/Earnings (TTM, GAAP)",18.81
"PEG Ratio (TTM, GAAP)",1.08
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.11720000000000001
Net Profit Margin (TTM),0.13369999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9823000000000001
EPS Growth (TTM),-0.3699
Revenue Growth (MRQ),0.1151
Revenue Growth (TTM),-0.023700000000000002
Return On Equity (TTM),0.102
Return On Assets (TTM),0.0256
Return On Investment (TTM),
Revenue Per Employee (TTM),1675629.0
Total Debt/Total Capital (MRQ),0.18760000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-07 00:00:00
cfra since,2018-03-09 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-10-26 00:00:00
