,BALY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),0.52,5.62,Valuation,0.09252669039145908
Price/Book (MRQ),1.06,8.49,Valuation,0.1248527679623086
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.5401,0.4054,Profitability,1.3322644301924027
Operating Profit Margin (TTM),0.0382,0.163,Profitability,0.23435582822085887
Net Profit Margin (TTM),-0.0239,0.0779,Profitability,-0.30680359435173304
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.9894,0.3309,Gowth rates,-2.9900271985494102
EPS Growth (TTM),-2.2447,2.1359,Gowth rates,-1.0509387143592865
Revenue Growth (MRQ),0.0466,0.38439999999999996,Gowth rates,0.12122788761706557
Revenue Growth (TTM),1.4938,0.7695000000000001,Gowth rates,1.9412605588044183
Return On Equity (TTM),-0.0443,0.19090000000000001,Effectiveness,-0.23205866946045048
Return On Assets (TTM),-0.0095,0.0758,Effectiveness,-0.12532981530343007
Return On Investment (TTM),-0.010400000000000001,0.1005,Effectiveness,-0.10348258706467663
Revenue Per Employee (TTM),235379.0,285753.0,Effectiveness,0.8237148866328613
Total Debt/Total Capital (MRQ),0.7583,1.1596,Financial strength,0.6539323904794757
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.002,Financial strength,0.3
Quick Ratio (MRQ),0.63,0.81,Financial strength,0.7777777777777777
Interest Coverage (MRQ),1.18,40.22,Financial strength,0.029338637493784188
