,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,33.98,52.98,75.92,39.38,,,,,
low,20.35,7.22,32.61,17.54,,,,,
change,-0.1155,0.9401,-0.2436,-0.3653,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,206.0,161.0,176.0,164.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,53.0,54.0,63.0,71.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-4.0,-4.0,-6.0,-6.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,48.0,49.0,58.0,64.0,Balance Sheet
Other Receivables,,,,,128.0,131.0,60.0,48.0,Balance Sheet
"Total Receivables, Net",,,,,176.0,181.0,118.0,112.0,Balance Sheet
Total Inventory,,,,,11.0,14.0,15.0,16.0,Balance Sheet
Prepaid Expenses,,,,,104.0,93.0,89.0,101.0,Balance Sheet
"Other Curr. Assets, Total",,,,,69.0,63.0,55.0,56.0,Balance Sheet
Total Current Assets,,,,,567.0,511.0,453.0,449.0,Balance Sheet
Buildings,,,,,651.0,669.0,617.0,744.0,Balance Sheet
Land/Improvements,,,,,110.0,110.0,91.0,91.0,Balance Sheet
Machinery/Equipment,,,,,182.0,200.0,210.0,232.0,Balance Sheet
Construction in Progress,,,,,54.0,65.0,73.0,89.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,555.0,554.0,703.0,859.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,1552.0,1599.0,1694.0,2015.0,Balance Sheet
Accumulated Depreciation,,,,,-205.0,-219.0,-231.0,-247.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1346.0,1379.0,1463.0,1769.0,Balance Sheet
"Goodwill, Net",,,,,2123.0,2083.0,1970.0,1857.0,Balance Sheet
Intangibles - Gross,,,,,2592.0,2572.0,2535.0,2444.0,Balance Sheet
Accum. Intangible Amort.,,,,,-114.0,-174.0,-225.0,-268.0,Balance Sheet
Intangibles - Net,,,,,2478.0,2398.0,2310.0,2176.0,Balance Sheet
Other Long Term Assets,,,,,27.0,21.0,25.0,28.0,Balance Sheet
Total Assets,,,,,6553.0,6408.0,6236.0,6293.0,Balance Sheet
Accounts Payable,,,,,88.0,83.0,71.0,43.0,Balance Sheet
Accrued Expenses,,,,,463.0,426.0,414.0,629.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,19.0,19.0,19.0,19.0,Balance Sheet
Total Current Liabilities,,,,,570.0,529.0,505.0,691.0,Balance Sheet
Total Long Term Debt,,,,,3427.0,3449.0,3337.0,3409.0,Balance Sheet
Total Debt,,,,,3446.0,3469.0,3356.0,3429.0,Balance Sheet
Deferred Income Tax,,,,,214.0,196.0,185.0,165.0,Balance Sheet
Minority Interest,,,,,4.0,4.0,4.0,1.0,Balance Sheet
Pension Benefits - Underfunded,,,,,5.0,4.0,4.0,4.0,Balance Sheet
Other LT Liabilities,,,,,721.0,678.0,787.0,931.0,Balance Sheet
"Other Liabilities, Total",,,,,726.0,683.0,791.0,935.0,Balance Sheet
Total Liabilities,,,,,4941.0,4861.0,4822.0,5201.0,Balance Sheet
Common Stock,,,,,1.0,1.0,1.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1849.0,1832.0,1838.0,1660.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-139.0,-144.0,-85.0,-58.0,Balance Sheet
Treasury Stock - Common,,,,,-29.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,,,-70.0,-141.0,-340.0,-510.0,Balance Sheet
Total Equity,,,,,1612.0,1547.0,1414.0,1092.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,6553.0,6408.0,6236.0,6293.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,52.0,53.0,53.0,47.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,1.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,548.0,548.0,552.0,578.0,Income Statement
"Cost of Revenue, Total",,,,,263.0,260.0,250.0,251.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,187.0,182.0,182.0,192.0,Income Statement
Depreciation/Amortization,,,,,77.0,79.0,75.0,74.0,Income Statement
Restructuring Charge,,,,,1.0,1.0,2.0,1.0,Income Statement
Impair-Assets Held for Use,,,,,0.0,,0.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,129.0,-9.0,-62.0,7.0,Income Statement
Unusual Expense (Income),,,,,130.0,-8.0,-60.0,8.0,Income Statement
Total Operating Expense,,,,,657.0,512.0,447.0,525.0,Income Statement
Total Operating Income,,,,,-110.0,36.0,105.0,54.0,Income Statement
"Inter Expse, Non-Operating",,,,,-46.0,-46.0,-46.0,-54.0,Income Statement
"Inter Capital, Non-Operat",,,,,,0.0,0.0,1.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-46.0,-46.0,-46.0,-54.0,Income Statement
"Inter Income, Non-Operating",,,,,1.0,0.0,0.0,0.0,Income Statement
"Invest Income, Non-Operat",,,,,,,,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,1.0,0.0,0.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,18.0,6.0,5.0,1.0,Income Statement
"Other, Net",,,,,18.0,6.0,5.0,1.0,Income Statement
Income Before Tax,,,,,-136.0,-4.0,65.0,2.0,Income Statement
Income Tax - Total,,,,,-21.0,-6.0,5.0,1.0,Income Statement
Income After Tax,,,,,-115.0,2.0,60.0,1.0,Income Statement
Net Inc Before Extra Items,,,,,-115.0,2.0,60.0,1.0,Income Statement
Total Net Income,,,,,-115.0,2.0,60.0,1.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-115.0,2.0,60.0,1.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-115.0,2.0,60.0,1.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,62.0,60.0,61.0,57.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-1.86,0.03,0.98,0.01,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-1.86,0.03,0.98,0.01,Income Statement
Diluted Weighted Average Shares,,,,,62.0,60.0,61.0,57.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-1.86,0.03,0.98,0.01,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-1.86,0.03,0.98,0.01,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,46.0,46.0,46.0,54.0,Income Statement
"Interest Capitalized, Suppl",,,,,,0.0,0.0,-1.0,Income Statement
"Depreciat/Amort, Suppl",,,,,16.0,17.0,16.0,17.0,Income Statement
Total Special Items,,,,,114.0,-11.0,-63.0,9.0,Income Statement
Normalzd Income Before Tax,,,,,-23.0,-15.0,1.0,11.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,40.0,-4.0,-5.0,3.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,19.0,-9.0,0.0,4.0,Income Statement
Normalized Income After Tax,,,,,-41.0,-5.0,1.0,7.0,Income Statement
Normalzd Inc Avail to Common,,,,,-41.0,-5.0,1.0,7.0,Income Statement
Basic Normalized EPS,,,,,-0.67,-0.09,0.02,0.12,Income Statement
Diluted Normalized EPS,,,,,-0.67,-0.09,0.02,0.12,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-72.0,2.0,61.0,62.0,Cash Flow
Depreciation/Depletion,,,,,145.0,79.0,154.0,228.0,Cash Flow
Deferred Taxes,,,,,-5.0,-19.0,-29.0,-43.0,Cash Flow
Unusual Items,,,,,26.0,-13.0,-84.0,-85.0,Cash Flow
Other Non-Cash Items,,,,,29.0,11.0,22.0,44.0,Cash Flow
Non-Cash Items,,,,,55.0,-3.0,-62.0,-41.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,42.0,3.0,-56.0,-39.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,66.0,67.0,94.0,164.0,Cash Flow
Changes in Working Capital,,,,,-40.0,-39.0,40.0,20.0,Cash Flow
Total Cash from Operations,,,,,83.0,21.0,165.0,225.0,Cash Flow
Purchase of Fixed Assets,,,,,-98.0,-55.0,-116.0,-167.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-65.0,-17.0,-85.0,-101.0,Cash Flow
Capital Expenditures,,,,,-163.0,-72.0,-201.0,-268.0,Cash Flow
Acquisition of Business,,,,,-2274.0,0.0,0.0,-146.0,Cash Flow
Purchase of Investments,,,,,,,-3.0,-3.0,Cash Flow
Other Investing Cash Flow,,,,,140.0,0.0,148.0,348.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-2134.0,0.0,145.0,199.0,Cash Flow
Total Cash from Investing,,,,,-2297.0,-72.0,-56.0,-69.0,Cash Flow
Financing Cash Flow Items,,,,,-68.0,-2.0,-33.0,-33.0,Cash Flow
Total Cash Dividends Paid,,,,,0.0,,,,Cash Flow
Sale/Issuance of Common,,,,,668.0,,0.0,0.0,Cash Flow
Repurch/Retirement Common,,,,,-87.0,-13.0,-13.0,-133.0,Cash Flow
"Common Stock, Net",,,,,581.0,-13.0,-13.0,-133.0,Cash Flow
Warrants Converted,,,,,50.0,,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,631.0,-13.0,-13.0,-133.0,Cash Flow
Long Term Debt Issued,,,,,3788.0,105.0,110.0,335.0,Cash Flow
Long Term Debt Reduction,,,,,-1945.0,-85.0,-205.0,-360.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,1842.0,20.0,-95.0,-25.0,Cash Flow
Total Cash From Financing,,,,,2405.0,4.0,-141.0,-190.0,Cash Flow
Foreign Exchange Effects,,,,,-42.0,-4.0,-11.0,-21.0,Cash Flow
Net Change in Cash,,,,,148.0,-51.0,-43.0,-55.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,127.0,275.0,275.0,275.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,275.0,224.0,231.0,220.0,Cash Flow
"Depreciation, Supplemental",,,,,145.0,79.0,154.0,228.0,Cash Flow
Free Cash Flow,,,,,-80.0,-51.0,-36.0,-43.0,
FCF Growth,,,,,,-0.36250000000000004,-0.2941176470588235,0.19444444444444442,
