,KROS
% Below High,0.2867
% Held by Institutions,0.8256999999999999
52-Wk Range,['24.38 - 68.29']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,48.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.36
Ex-dividend Date,No dividend
Historical Volatility,0.696
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,48.71
Short Interest,0.0286
Today's Open,
Volume,51425.0
Volume 10-day Avg,179736.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.15813953488372112
Growth 2yr High Est,-0.004950495049505066
Growth 2yr Consensus Est,0.07659451991710803
Growth 5yr Low Est,0.15813953488372112
Growth 5yr High Est,-0.004950495049505066
Growth 5yr Consensus Est,0.07659451991710803
Growth 5yr Actual/Est,0.2048307326733768
Growth 3yr Historic,-0.046643913538111516
Price/Earnings (TTM),
Price/Sales (TTM),67.08159
Price/Book (MRQ),5.27008
Price/Cash Flow (TTM),
5yr Low,19.1
5yr High,88.8
5yr Avg Return,0.6791000000000001
Short Int Current Month,709898.0
Short Int Prev Month,723097.0
Short Int Pct of Float,0.028610299999999998
Days to Cover,3.15009
Float,24.81268
Shares Outstanding,27.54325
Institutions Holding Shares,170.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-4.3848
Net Profit Margin (TTM),-4.0951
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1883
EPS Growth (TTM),-0.2581
Revenue Growth (MRQ),
Revenue Growth (TTM),199.0
Return On Equity (TTM),-0.3565
Return On Assets (TTM),-0.3395
Return On Investment (TTM),-0.3561
Revenue Per Employee (TTM),333333.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-30 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
