,KROS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),67.08,45.03,Valuation,1.4896735509660226
Price/Book (MRQ),5.27,12.61,Valuation,0.4179222839016653
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-4.3848,-4.7459,Profitability,0.9239132725089025
Net Profit Margin (TTM),-4.0951,-4.5467,Profitability,0.9006752149910925
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1883,-0.0014000000000000002,Gowth rates,-134.49999999999997
EPS Growth (TTM),-0.2581,0.027200000000000002,Gowth rates,-9.488970588235293
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),199.0,0.9747,Gowth rates,204.16538422078588
Return On Equity (TTM),-0.3565,0.1967,Effectiveness,-1.8124046771733602
Return On Assets (TTM),-0.3395,0.0016,Effectiveness,-212.1875
Return On Investment (TTM),-0.3561,0.0219,Effectiveness,-16.260273972602743
Revenue Per Employee (TTM),333333.0,1476201.0,Effectiveness,0.22580461603805985
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
