,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,88.8,75.99,68.29,,,,,
low,19.1,28.5,24.38,,,,,
change,2.3832,-0.177,-0.16890000000000002,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,230042.0,228586.0,215621.0,239426.0,Balance Sheet
"Trade Accts Recvble, Net",,,,18000.0,0.0,0.0,0.0,Balance Sheet
Other Receivables,,,,197.0,167.0,146.0,146.0,Balance Sheet
"Total Receivables, Net",,,,18197.0,167.0,146.0,146.0,Balance Sheet
Prepaid Expenses,,,,2861.0,2216.0,6124.0,5558.0,Balance Sheet
"Other Curr. Assets, Total",,,,340.0,251.0,466.0,745.0,Balance Sheet
Total Current Assets,,,,251440.0,231220.0,222357.0,245875.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,2402.0,2320.0,2310.0,2127.0,Balance Sheet
Other Long Term Assets,,,,82.0,275.0,667.0,3221.0,Balance Sheet
Total Assets,,,,255251.0,235142.0,226661.0,252550.0,Balance Sheet
Accounts Payable,,,,3645.0,3064.0,7660.0,2655.0,Balance Sheet
Accrued Expenses,,,,7997.0,8365.0,7390.0,8583.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,204.0,219.0,403.0,287.0,Balance Sheet
Total Current Liabilities,,,,11846.0,11648.0,15453.0,11525.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,231.0,0.0,0.0,0.0,Balance Sheet
Total Liabilities,,,,12077.0,11648.0,15453.0,11525.0,Balance Sheet
Common Stock,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,366927.0,371433.0,386413.0,439739.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-123755.0,-147941.0,-175207.0,-198716.0,Balance Sheet
