,SFNC
% Above Low,0.1616
% Held by Institutions,0.6640999999999999
52-Wk Range,['19.87 - 32.31']
Annual Dividend $,0.76
Annual Dividend %,0.0323
Ask,23.09
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,23.09
Bid Size,100.0
Day Change $,-0.44
Day Change %,-0.0187
Day High,23.51
Day Low,23.06
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.84
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.271
Last (size),100.0
Last (time),2:03p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.8
Prev Close,23.52
Price,23.08
Short Interest,0.0202
Today's Open,23.4
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.039823008849557695
Growth 1yr High Est,-0.06589147286821706
Growth 1yr Consensus Est,-0.013034232009329683
Growth 2yr Low Est,-0.0332799849369233
Growth 2yr High Est,-0.035020425230789076
Growth 2yr Consensus Est,-0.03415020508385619
Growth 5yr Low Est,-0.028578429225685625
Growth 5yr High Est,-0.016148889460178256
Growth 5yr Consensus Est,-0.02236365934293194
Growth 5yr Actual/Est,-0.011724837778451763
Growth 3yr Historic,0.005860322250363703
Price/Earnings (TTM),12.80049
Price/Sales (TTM),3.50725
Price/Book (MRQ),0.9457
Price/Cash Flow (TTM),11.06596
5yr Low,13.75
5yr High,33.45
5yr Avg Return,-0.01813333333333333
EPS Growth 5yr,0.0949786
Revenue Growth 5yr,0.1739177
Dividend Growth 5yr,0.0837097
Short Int Current Month,2528488.0
Short Int Prev Month,2822399.0
Short Int Pct of Float,0.0202196
Days to Cover,5.85668
Float,125.1121
Shares Outstanding,126.9697
Institutions Holding Shares,313.0
FCF Growth 5yr,0.48616670500728465
"Price/Earnings (TTM, GAAP)",12.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3181
Net Profit Margin (TTM),0.26
Annual Dividend Yield,0.0323
Dividend Change %,0.059699999999999996
"Dividend Growth Rate, 3 Years",0.0728
EPS Growth (MRQ),1.9447999999999999
EPS Growth (TTM),-0.2757
Revenue Growth (MRQ),0.126
Revenue Growth (TTM),0.1302
Return On Equity (TTM),0.0716
Return On Assets (TTM),0.0088
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-11-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
