,RAD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,32.14,Valuation,
Price/Sales (TTM),0.01,0.72,Valuation,0.01388888888888889
Price/Book (MRQ),,8.68,Valuation,
"PEG Ratio (TTM, GAAP)",,0.86,Valuation,
Gross Profit Margin (TTM),0.20350000000000001,0.20010000000000003,Profitability,1.016991504247876
Operating Profit Margin (TTM),-0.029900000000000003,0.033,Profitability,-0.9060606060606061
Net Profit Margin (TTM),-0.0358,0.0192,Profitability,-1.8645833333333335
Annual Dividend Yield,,0.0138,Dividend,
Dividend Change %,,0.0572,Dividend,
"Dividend Growth Rate, 3 Years",,0.053899999999999997,Dividend,
EPS Growth (MRQ),-1.9955,-0.6058,Gowth rates,3.293991416309013
EPS Growth (TTM),-5.744400000000001,0.3755,Gowth rates,-15.298002663115847
Revenue Growth (MRQ),-0.0189,0.1126,Gowth rates,-0.16785079928952043
Revenue Growth (TTM),-0.004,0.10740000000000001,Gowth rates,-0.037243947858472994
Return On Equity (TTM),-10.262500000000001,0.2335,Effectiveness,-43.9507494646681
Return On Assets (TTM),-0.0978,0.0572,Effectiveness,-1.7097902097902098
Return On Investment (TTM),-0.14300000000000002,0.1033,Effectiveness,-1.3843175217812198
Revenue Per Employee (TTM),456791.0,518753.0,Effectiveness,0.8805558714841167
Total Debt/Total Capital (MRQ),1.1158,0.3837,Financial strength,2.908001042481105
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0003,Financial strength,5.333333333333334
Quick Ratio (MRQ),0.61,0.36,Financial strength,1.6944444444444444
Interest Coverage (MRQ),-0.1,5.73,Financial strength,-0.017452006980802792
