,RAD
% Above Low,0.36200000000000004
% Held by Institutions,0.513
52-Wk Range,['3.84 - 15.62']
Annual Dividend $,
Annual Dividend %,
Ask,5.43
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,5.22
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,5.23
Day Change $,-0.2
Day Change %,-0.0368
Day High,5.39
Day Low,5.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-15.94
Ex-dividend Date,No dividend
Historical Volatility,0.9550000000000001
Last (size),400.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,295.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.43
Short Interest,0.172
Today's Open,5.29
Volume,1902170.0
Volume 10-day Avg,1952776.0
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,2.353658536585366
Growth 1yr High Est,-2.583333333333333
Growth 1yr Consensus Est,-0.11483739837398343
Growth 2yr Low Est,1.1586474501108648
Growth 2yr High Est,-1.6293859649122806
Growth 2yr Consensus Est,-0.2353692574007079
Growth 5yr Low Est,0.7724316334072432
Growth 5yr High Est,-1.0862573099415205
Growth 5yr Consensus Est,-0.15691283826713856
Growth 5yr Actual/Est,1.7734473051070268
Growth 3yr Historic,1.7666666666666666
Price/Earnings (TTM),
Price/Sales (TTM),0.01268
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.84
5yr High,51.0
5yr Avg Return,-0.22656666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.013919299999999999
Dividend Growth 5yr,
Short Int Current Month,9307258.0
Short Int Prev Month,9883207.0
Short Int Pct of Float,0.1719512
Days to Cover,4.81656
Float,54.3752
Shares Outstanding,56.53545
Institutions Holding Shares,212.0
FCF Growth 5yr,-1.5273688695541978
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.20350000000000001
Operating Profit Margin (TTM),-0.029900000000000003
Net Profit Margin (TTM),-0.0358
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.9955
EPS Growth (TTM),-5.744400000000001
Revenue Growth (MRQ),-0.0189
Revenue Growth (TTM),-0.004
Return On Equity (TTM),-10.262500000000001
Return On Assets (TTM),-0.0978
Return On Investment (TTM),-0.14300000000000002
Revenue Per Employee (TTM),456791.0
Total Debt/Total Capital (MRQ),1.1158
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),-0.1
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-07-05 00:00:00
theStreet since,2021-07-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
