,HALO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.69,471.78,Valuation,0.07776929924965026
Price/Sales (TTM),12.73,45.03,Valuation,0.28270042194092826
Price/Book (MRQ),76.21,12.61,Valuation,6.043616177636796
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7954000000000001,0.5874,Profitability,1.3541028260129384
Operating Profit Margin (TTM),0.4251,-4.7459,Profitability,-0.08957205166564824
Net Profit Margin (TTM),0.36369999999999997,-4.5467,Profitability,-0.07999208216948554
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),1.7721,-0.0014000000000000002,Gowth rates,-1265.7857142857142
EPS Growth (TTM),-0.465,0.027200000000000002,Gowth rates,-17.095588235294116
Revenue Growth (MRQ),0.3715,1.3963999999999999,Gowth rates,0.26604124892580927
Revenue Growth (TTM),0.254,0.9747,Gowth rates,0.26059300297527443
Return On Equity (TTM),1.1155,0.1967,Effectiveness,5.671072699542449
Return On Assets (TTM),0.1385,0.0016,Effectiveness,86.5625
Return On Investment (TTM),0.1494,0.0219,Effectiveness,6.821917808219179
Revenue Per Employee (TTM),4004297.0,1476201.0,Effectiveness,2.7125689523310172
Total Debt/Total Capital (MRQ),0.9394,0.4675,Financial strength,2.0094117647058822
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0036,Financial strength,0.25
Quick Ratio (MRQ),5.03,2.06,Financial strength,2.441747572815534
Interest Coverage (MRQ),12.18,2.69,Financial strength,4.5278810408921935
