,HALO
% Below High,0.0089
% Held by Institutions,0.9840000000000001
52-Wk Range,['31.36 - 55.16']
Annual Dividend $,
Annual Dividend %,
Ask,55.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,54.28
Bid Size,100.0
Closing Price,54.67
Day Change $,0.32
Day Change %,0.0059
Day High,55.16
Day Low,54.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.389
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.69
Prev Close,54.35
Short Interest,0.0758
Today's Open,54.39
Volume,354870.0
Volume 10-day Avg,1208508.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.14973262032085555
Growth 1yr High Est,0.125
Growth 1yr Consensus Est,0.13736631016042777
Growth 2yr Low Est,0.2423081706255441
Growth 2yr High Est,0.3202777777777778
Growth 2yr Consensus Est,0.28129297420166094
Growth 5yr Low Est,0.5792094631479531
Growth 5yr High Est,0.5535858585858586
Growth 5yr Consensus Est,0.5663976608669058
Growth 5yr Actual/Est,-0.2802012770334689
Growth 3yr Historic,-0.4055494505494507
Price/Earnings (TTM),36.68881
Price/Sales (TTM),12.73132
Price/Book (MRQ),76.21311
Price/Cash Flow (TTM),29.04283
5yr Low,12.71
5yr High,56.4
5yr Avg Return,0.28669999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.2475582
Dividend Growth 5yr,
Short Int Current Month,10139538.0
Short Int Prev Month,10816845.0
Short Int Pct of Float,0.0757973
Days to Cover,6.8374
Float,133.7475
Shares Outstanding,135.2131
Institutions Holding Shares,492.0
FCF Growth 5yr,0.2604604790512936
"Price/Earnings (TTM, GAAP)",36.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7954000000000001
Operating Profit Margin (TTM),0.4251
Net Profit Margin (TTM),0.36369999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.7721
EPS Growth (TTM),-0.465
Revenue Growth (MRQ),0.3715
Revenue Growth (TTM),0.254
Return On Equity (TTM),1.1155
Return On Assets (TTM),0.1385
Return On Investment (TTM),0.1494
Revenue Per Employee (TTM),4004297.0
Total Debt/Total Capital (MRQ),0.9394
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),5.03
Interest Coverage (MRQ),12.18
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-09-21 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
