,PENN
% Above Low,0.33270000000000005
% Held by Institutions,0.8
52-Wk Range,['25.49 - 53.37']
Annual Dividend $,
Annual Dividend %,
Ask,33.97
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.2
Bid,33.95
Bid Size,200.0
Day Change $,-1.01
Day Change %,-0.028900000000000002
Day High,34.53
Day Low,33.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.38
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),75.0
Last (time),10:30a ET 11/28/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.38
Prev Close,34.98
Price,33.97
Short Interest,0.0753
Today's Open,33.74
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-1.2239057239057238
Growth 1yr High Est,-1.4560975609756097
Growth 1yr Consensus Est,-1.3400016424406669
Growth 2yr Low Est,-0.6081934634566213
Growth 2yr High Est,-0.22002739011347328
Growth 2yr Consensus Est,-0.4141104267850473
Growth 5yr Low Est,-0.4054623089710809
Growth 5yr High Est,-0.1466849267423155
Growth 5yr Consensus Est,-0.2760736178566982
Growth 5yr Actual/Est,-1.3287820692631354
Growth 3yr Historic,-1.3033478260869567
Price/Earnings (TTM),25.37614
Price/Sales (TTM),0.84933
Price/Book (MRQ),1.5114
Price/Cash Flow (TTM),7.1442
5yr Low,3.75
5yr High,142.0
5yr Avg Return,0.28
EPS Growth 5yr,0.1672386
Revenue Growth 5yr,0.142431
Dividend Growth 5yr,
Short Int Current Month,11596065.0
Short Int Prev Month,11635822.0
Short Int Pct of Float,0.0752771
Days to Cover,3.36615
Float,154.0513
Shares Outstanding,155.1177
Institutions Holding Shares,568.0
FCF Growth 5yr,0.34265132309237584
"Price/Earnings (TTM, GAAP)",25.38
"PEG Ratio (TTM, GAAP)",11.15
Gross Profit Margin (TTM),0.4316
Operating Profit Margin (TTM),0.14980000000000002
Net Profit Margin (TTM),0.0385
EPS Growth (MRQ),3.9278
EPS Growth (TTM),-0.38439999999999996
Revenue Growth (MRQ),-0.0012
Revenue Growth (TTM),0.19190000000000002
Return On Equity (TTM),0.0738
Return On Assets (TTM),0.0148
Return On Investment (TTM),0.0158
Revenue Per Employee (TTM),290748.0
Total Debt/Total Capital (MRQ),0.6868000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.46
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-05-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
