,OM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),8.71,9.8,Valuation,0.8887755102040816
Price/Book (MRQ),3.48,10.31,Valuation,0.3375363724539282
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.1424,0.6196,Profitability,0.2298256939961265
Operating Profit Margin (TTM),-1.4526,0.047,Profitability,-30.906382978723403
Net Profit Margin (TTM),-1.4593,0.009300000000000001,Profitability,-156.91397849462365
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.0745,-0.4858,Gowth rates,-0.1533552902428983
EPS Growth (TTM),-0.25989999999999996,-0.2029,Gowth rates,1.2809265648102512
Revenue Growth (MRQ),0.1079,0.1161,Gowth rates,0.9293712316968131
Revenue Growth (TTM),0.2162,0.18300000000000002,Gowth rates,1.1814207650273223
Return On Equity (TTM),-0.47250000000000003,0.1068,Effectiveness,-4.424157303370786
Return On Assets (TTM),-0.3809,0.0622,Effectiveness,-6.12379421221865
Return On Investment (TTM),-0.4263,0.0732,Effectiveness,-5.823770491803279
Revenue Per Employee (TTM),251171.0,403586.0,Effectiveness,0.6223481488455992
Total Debt/Total Capital (MRQ),0.0966,0.3161,Financial strength,0.30559949383106616
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002,0.0125,Financial strength,0.272
Quick Ratio (MRQ),5.13,2.25,Financial strength,2.28
Interest Coverage (MRQ),,14.99,Financial strength,
