,OM
% Above Low,0.7615999999999999
% Held by Institutions,1.0351000000000001
52-Wk Range,['11.41 - 51.69']
Annual Dividend $,
Annual Dividend %,
Ask,20.62
Ask Size,200.0
Ask close,24.29
B/A Ratio,3.0
B/A Size,600x200
Beta,
Bid,19.2
Bid Size,600.0
Bid close,15.43
Change Since Close,-0.29| |(-1.44%)
Closing Price,20.1
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.49
Ex-dividend Date,No dividend
Historical Volatility,0.929
Last (size),4.0
Last (time),12:59p ET 11/25/22
Last Trade,19.81
Market Cap,969.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,20.1
Short Interest,0.09179999999999999
Today's Open,
Volume,751.0
Volume 10-day Avg,650419.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.18556701030927836
Growth 1yr High Est,0.2637362637362639
Growth 1yr Consensus Est,0.22465163702277113
Growth 2yr Low Est,0.05220379500971162
Growth 2yr High Est,-0.05074056378404196
Growth 2yr Consensus Est,0.0007316156128348295
Growth 5yr Low Est,0.05220379500971162
Growth 5yr High Est,-0.05074056378404196
Growth 5yr Consensus Est,0.0007316156128348295
Growth 5yr Actual/Est,-0.11810968673375928
Growth 3yr Historic,-0.13052631578947368
Price/Earnings (TTM),
Price/Sales (TTM),8.70685
Price/Book (MRQ),3.47803
Price/Cash Flow (TTM),
5yr Low,11.41
5yr High,66.96
5yr Avg Return,-0.2214
Short Int Current Month,4294039.0
Short Int Prev Month,4420711.0
Short Int Pct of Float,0.0918403
Days to Cover,4.36958
Float,47.90418
Shares Outstanding,48.30788
Institutions Holding Shares,199.0
FCF Growth 5yr,0.2595064208739051
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1424
Operating Profit Margin (TTM),-1.4526
Net Profit Margin (TTM),-1.4593
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0745
EPS Growth (TTM),-0.25989999999999996
Revenue Growth (MRQ),0.1079
Revenue Growth (TTM),0.2162
Return On Equity (TTM),-0.47250000000000003
Return On Assets (TTM),-0.3809
Return On Investment (TTM),-0.4263
Revenue Per Employee (TTM),251171.0
Total Debt/Total Capital (MRQ),0.0966
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),5.13
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-22 00:00:00
theStreet since,2021-11-22 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
