,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,62.4,67.17,81.35,70.89,91.46,98.8,,,,,
low,57.2,53.55,58.06,37.05,62.81,66.81,,,,,
change,-0.031400000000000004,0.0338,0.0824,0.0234,0.2224,0.1575,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,,,0.0,0.0,0.0,1.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,335.0,343.0,349.0,357.0,Balance Sheet
Accumulated Depreciation,,,,,,,-253.0,-260.0,-265.0,-272.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,118.0,83.0,83.0,85.0,Balance Sheet
"Goodwill, Net",,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Long Term Investments,,,,,,,8027.0,7775.0,7586.0,7536.0,Balance Sheet
Insurance Receivables,,,,,,,945.0,1012.0,1117.0,1113.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,,55.0,109.0,165.0,Balance Sheet
Restricted Cash - LT,,,,,,,45.0,17.0,7.0,8.0,Balance Sheet
Def. Policy Acq. Costs,,,,,,,327.0,342.0,359.0,371.0,Balance Sheet
Accrued Investment Income,,,,,,,48.0,48.0,50.0,54.0,Balance Sheet
Reinsurance - Asset,,,,,,,600.0,577.0,572.0,713.0,Balance Sheet
Other Assets,,,,,,,343.0,393.0,424.0,466.0,Balance Sheet
"Other Assets, Total",,,,,,,992.0,1018.0,1047.0,1233.0,Balance Sheet
Total Assets,,,,,,,10461.0,10311.0,10318.0,10520.0,Balance Sheet
Accrued Expenses,,,,,,,158.0,91.0,103.0,112.0,Balance Sheet
Insurance Reserves,,,,,,,4581.0,4644.0,4722.0,4965.0,Balance Sheet
Unearned Prem. Or Rev.,,,,,,,1803.0,1873.0,1969.0,2022.0,Balance Sheet
Policy Liabilities,,,,,,,6384.0,6517.0,6691.0,6988.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,0.0,16.0,,,Balance Sheet
Long Term Debt,,,,,,,501.0,501.0,501.0,501.0,Balance Sheet
Capital Lease Obligations,,,,,,,5.0,5.0,4.0,4.0,Balance Sheet
Total Long Term Debt,,,,,,,506.0,506.0,505.0,505.0,Balance Sheet
Total Debt,,,,,,,506.0,506.0,505.0,505.0,Balance Sheet
Deferred Income Tax,,,,,,,13.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,417.0,403.0,425.0,488.0,Balance Sheet
Total Liabilities,,,,,,,7479.0,7532.0,7724.0,8093.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,200.0,200.0,200.0,200.0,Balance Sheet
Common Stock,,,,,,,209.0,209.0,210.0,210.0,Balance Sheet
Additional Paid-In Capital,,,,,,,464.0,473.0,481.0,486.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,2603.0,2640.0,2661.0,2684.0,Balance Sheet
Treasury Stock - Common,,,,,,,-609.0,-615.0,-621.0,-627.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,181.0,-64.0,-271.0,-460.0,Balance Sheet
"Other Equity, Total",,,,,,,-66.0,-65.0,-65.0,-65.0,Balance Sheet
Total Equity,,,,,,,2983.0,2778.0,2594.0,2428.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,10461.0,10311.0,10318.0,10520.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,60.0,60.0,60.0,60.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,44.0,44.0,44.0,45.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Gross Premiums Written,,,,,,,909.0,937.0,963.0,993.0,Income Statement
Other Insurance Revenue,,,,,,,3.0,2.0,3.0,3.0,Income Statement
Reinsurance - Income,,,,,,,-125.0,-125.0,-129.0,-140.0,Income Statement
Total Premiums Earned,,,,,,,787.0,814.0,837.0,857.0,Income Statement
Net Investment Income,,,,,,,80.0,73.0,70.0,64.0,Income Statement
Realized Gains (Losses),,,,,,,3.0,-38.0,-21.0,-18.0,Income Statement
Total Revenue,,,,,,,870.0,848.0,887.0,903.0,Income Statement
"Losses,Benies& Adjmts,Total",,,,,,,474.0,494.0,525.0,548.0,Income Statement
Amort. Of Policy Acquisition Costs,,,,,,,162.0,170.0,173.0,179.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,5.0,11.0,8.0,6.0,Income Statement
Unusual Expense (Income),,,,,,,3.0,,,,Income Statement
"Other Operat Expse, Total",,,,,,,97.0,94.0,102.0,103.0,Income Statement
Total Operating Expense,,,,,,,741.0,769.0,808.0,835.0,Income Statement
Total Operating Income,,,,,,,129.0,79.0,79.0,68.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-7.0,-7.0,-7.0,-7.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,2.0,-2.0,-22.0,-8.0,Income Statement
Income Before Tax,,,,,,,124.0,70.0,50.0,53.0,Income Statement
Income Tax - Total,,,,,,,25.0,14.0,10.0,10.0,Income Statement
Income After Tax,,,,,,,99.0,56.0,40.0,43.0,Income Statement
Net Inc Before Extra Items,,,,,,,99.0,56.0,40.0,43.0,Income Statement
Total Net Income,,,,,,,99.0,56.0,40.0,43.0,Income Statement
Total Adjust to Net Income,,,,,,,-2.0,-2.0,-2.0,-2.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,97.0,54.0,37.0,40.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,97.0,54.0,37.0,40.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,60.0,60.0,60.0,60.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.6,0.89,0.62,0.67,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.6,0.89,0.62,0.67,Income Statement
Diluted Weighted Average Shares,,,,,,,61.0,61.0,61.0,61.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.58,0.89,0.61,0.66,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.58,0.89,0.61,0.66,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.28,0.28,0.28,0.28,Income Statement
Gross Divid - Common Stock,,,,,,,17.0,17.0,17.0,17.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,7.0,7.0,7.0,7.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,14.0,13.0,9.0,12.0,Income Statement
Total Special Items,,,,,,,3.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,,127.0,70.0,50.0,53.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,-4.0,-8.0,-9.0,-5.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,21.0,5.0,1.0,5.0,Income Statement
Normalized Income After Tax,,,,,,,106.0,65.0,49.0,48.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,103.0,63.0,46.0,46.0,Income Statement
Basic Normalized EPS,,,,,,,1.71,1.04,0.76,0.76,Income Statement
Diluted Normalized EPS,,,,,,,1.69,1.03,0.76,0.75,Income Statement
