,SIGI
% Below High,0.0361
% Held by Institutions,0.8586
52-Wk Range,['66.81 - 98.80']
Annual Dividend $,1.2
Annual Dividend %,0.0126
Ask,95.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,95.2
Bid Size,100.0
Day Change $,-0.15
Day Change %,-0.0016
Day High,95.9
Day Low,94.71
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.74
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.27
Last (size),100.0
Last (time),2:11p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.49
Prev Close,95.38
Price,95.23
Short Interest,0.023700000000000002
Today's Open,94.71
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.20000000000000007
Growth 1yr High Est,-0.185126582278481
Growth 1yr Consensus Est,-0.19256329113924053
Growth 2yr Low Est,-0.006250000000000033
Growth 2yr High Est,0.03073767973454583
Growth 2yr Consensus Est,0.012243839867272899
Growth 5yr Low Est,-0.006250000000000033
Growth 5yr High Est,0.03073767973454583
Growth 5yr Consensus Est,0.012243839867272899
Growth 5yr Actual/Est,0.11829579081877747
Growth 3yr Historic,0.11350629791894848
Price/Earnings (TTM),25.48591
Price/Sales (TTM),1.63876
Price/Book (MRQ),2.58083
Price/Cash Flow (TTM),20.76165
5yr Low,37.05
5yr High,98.8
5yr Avg Return,0.08134999999999999
EPS Growth 5yr,0.19236509999999998
Revenue Growth 5yr,0.0799923
Dividend Growth 5yr,0.1104563
Short Int Current Month,1396608.0
Short Int Prev Month,1502847.0
Short Int Pct of Float,0.0237014
Days to Cover,4.14246
Float,58.90818
Shares Outstanding,60.27517
Institutions Holding Shares,346.0
FCF Growth 5yr,0.6098121181297071
"Price/Earnings (TTM, GAAP)",25.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1011
Net Profit Margin (TTM),0.0677
Annual Dividend Yield,0.0126
Dividend Change %,0.09570000000000001
"Dividend Growth Rate, 3 Years",0.1165
EPS Growth (MRQ),0.0809
EPS Growth (TTM),-0.4692
Revenue Growth (MRQ),0.0182
Revenue Growth (TTM),0.0701
Return On Equity (TTM),0.0922
Return On Assets (TTM),0.0226
Return On Investment (TTM),
Revenue Per Employee (TTM),1437773.0
Total Debt/Total Capital (MRQ),0.1723
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),16.49
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-10-08 00:00:00
theStreet since,2020-08-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-10-08 00:00:00
cfra since,
marketEdge opinion since,
