,BVH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.28,114.03,Valuation,0.05507322634394458
Price/Sales (TTM),0.61,5.62,Valuation,0.10854092526690391
Price/Book (MRQ),1.67,8.49,Valuation,0.19670200235571259
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.7675000000000001,0.4054,Profitability,1.8931919092254565
Operating Profit Margin (TTM),0.0736,0.163,Profitability,0.45153374233128835
Net Profit Margin (TTM),0.1061,0.0779,Profitability,1.362002567394095
Annual Dividend Yield,0.027999999999999997,0.011200000000000002,Dividend,2.4999999999999996
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),0.3689,0.3309,Gowth rates,1.1148383197340586
EPS Growth (TTM),0.2994,2.1359,Gowth rates,0.14017510183061005
Revenue Growth (MRQ),0.061200000000000004,0.38439999999999996,Gowth rates,0.1592091571279917
Revenue Growth (TTM),0.2629,0.7695000000000001,Gowth rates,0.34165042235217674
Return On Equity (TTM),0.2883,0.19090000000000001,Effectiveness,1.5102147721320063
Return On Assets (TTM),0.0655,0.0758,Effectiveness,0.8641160949868073
Return On Investment (TTM),0.0862,0.1005,Effectiveness,0.8577114427860696
Revenue Per Employee (TTM),141627.0,285753.0,Effectiveness,0.49562734249509194
Total Debt/Total Capital (MRQ),0.6643000000000001,1.1596,Financial strength,0.5728699551569508
Change in Debt/Total Capital Quarter over Quarter,0.0,0.002,Financial strength,0.0
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),,40.22,Financial strength,
