,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.0,50.85,34.2,23.9,35.9,36.1,,,,,
low,37.25,26.15,18.75,5.53,12.33,16.24,,,,,
change,0.0446,-0.2873,-0.1528,-0.4339,1.5343,-0.39270000000000005,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,140.0,179.0,222.0,163.0,Balance Sheet
Total Inventory,,,,,,,335.0,327.0,316.0,327.0,Balance Sheet
Prepaid Expenses,,,,,,,26.0,34.0,25.0,17.0,Balance Sheet
Total Current Assets,,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,121.0,121.0,118.0,114.0,Balance Sheet
Intangibles - Net,,,,,,,61.0,61.0,61.0,61.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,446.0,454.0,483.0,522.0,Balance Sheet
Restricted Cash - LT,,,,,,,43.0,46.0,42.0,42.0,Balance Sheet
Other Assets,,,,,,,38.0,37.0,29.0,33.0,Balance Sheet
"Other Assets, Total",,,,,,,38.0,37.0,29.0,33.0,Balance Sheet
Total Assets,,,,,,,1211.0,1259.0,1295.0,1278.0,Balance Sheet
Accounts Payable,,,,,,,15.0,16.0,18.0,17.0,Balance Sheet
Accrued Expenses,,,,,,,138.0,142.0,147.0,150.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,50.0,50.0,50.0,50.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,,595.0,619.0,652.0,622.0,Balance Sheet
Total Debt,,,,,,,595.0,619.0,652.0,622.0,Balance Sheet
Deferred Income Tax,,,,,,,96.0,101.0,102.0,109.0,Balance Sheet
Minority Interest,,,,,,,60.0,64.0,68.0,72.0,Balance Sheet
"Other Liabilities, Total",,,,,,,14.0,13.0,14.0,16.0,Balance Sheet
Total Liabilities,,,,,,,967.0,1004.0,1051.0,1036.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,174.0,170.0,145.0,122.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,69.0,85.0,100.0,120.0,Balance Sheet
Total Equity,,,,,,,243.0,255.0,245.0,242.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1211.0,1259.0,1295.0,1278.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,,17.0,17.0,16.0,15.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,21.0,21.0,20.0,19.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
