,BVH
% Above Low,0.3177
% Held by Institutions,0.4269
52-Wk Range,['16.24 - 36.10']
Annual Dividend $,0.6
Annual Dividend %,0.027999999999999997
Ask,24.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.8
Bid,
Bid Size,
Closing Price,21.4
Day Change $,-0.04
Day Change %,-0.0019
Day High,21.64
Day Low,21.3
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.41
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.541
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,423.2M
"P/E Ratio (TTM, GAAP)",6.28
Prev Close,21.44
Short Interest,0.0263
Today's Open,21.41
Volume,11943.0
Volume 10-day Avg,55825.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.19202898550724656
Growth 1yr High Est,0.21830985915492973
Growth 1yr Consensus Est,0.20516942233108815
Growth 2yr Low Est,0.0732181401700367
Growth 2yr High Est,0.146727183912725
Growth 2yr Consensus Est,0.10997266204138084
Growth 5yr Low Est,0.0732181401700367
Growth 5yr High Est,0.146727183912725
Growth 5yr Consensus Est,0.10997266204138084
Growth 5yr Actual/Est,0.7210348462405404
Growth 3yr Historic,0.6456140350877194
Price/Earnings (TTM),6.27673
Price/Sales (TTM),0.60993
Price/Book (MRQ),1.66825
Price/Cash Flow (TTM),4.62246
5yr Low,5.53
5yr High,50.85
5yr Avg Return,0.05203333333333334
EPS Growth 5yr,0.114402
Revenue Growth 5yr,-1.5100000000000001e-05
Dividend Growth 5yr,
Short Int Current Month,271284.0
Short Int Prev Month,308243.0
Short Int Pct of Float,0.0263435
Days to Cover,3.22815
Float,15.53416
Shares Outstanding,23.43845
Institutions Holding Shares,138.0
FCF Growth 5yr,0.28042332101730905
"Price/Earnings (TTM, GAAP)",6.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7675000000000001
Operating Profit Margin (TTM),0.0736
Net Profit Margin (TTM),0.1061
Annual Dividend Yield,0.027999999999999997
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3689
EPS Growth (TTM),0.2994
Revenue Growth (MRQ),0.061200000000000004
Revenue Growth (TTM),0.2629
Return On Equity (TTM),0.2883
Return On Assets (TTM),0.0655
Return On Investment (TTM),0.0862
Revenue Per Employee (TTM),141627.0
Total Debt/Total Capital (MRQ),0.6643000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-04 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
theStreet since,2022-08-04 00:00:00
newConstructs since,
marketEdge opinion since,
