,BVH
Price/Earnings (TTM),6.27673
Price/Sales (TTM),0.60993
Price/Book (MRQ),1.66825
Price/Cash Flow (TTM),4.62246
5yr Low,5.53
5yr High,50.85
5yr Avg Return,0.05203333333333334
EPS Growth 5yr,0.114402
Revenue Growth 5yr,-1.5100000000000001e-05
Dividend Growth 5yr,
Short Int Current Month,271284.0
Short Int Prev Month,308243.0
Short Int Pct of Float,0.0263435
Days to Cover,3.22815
Float,15.53416
Shares Outstanding,23.43845
Institutions Holding Shares,138.0
% Held by Institutions,0.426914
FCF Growth 5yr,0.28042332101730905
