,ARIS
% Above Low,0.5716
% Held by Institutions,0.8676
52-Wk Range,['10.06 - 23.58']
Annual Dividend $,0.36
Annual Dividend %,0.022799999999999997
Ask,23.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,12.5
Bid Size,100.0
Closing Price,15.81
Day Change $,-0.27
Day Change %,-0.0168
Day High,16.21
Day Low,15.8
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",0.11
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.6709999999999999
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,420.2M
"P/E Ratio (TTM, GAAP)",146.19
Prev Close,16.08
Short Interest,0.053399999999999996
Today's Open,16.2
Volume,85247.0
Volume 10-day Avg,279301.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,5.166666666666668
Growth 2yr High Est,1.2183908045977012
Growth 2yr Consensus Est,3.1925287356321848
Growth 5yr Low Est,5.166666666666668
Growth 5yr High Est,1.2183908045977012
Growth 5yr Consensus Est,3.1925287356321848
Growth 5yr Actual/Est,5.5600000000000005
Growth 3yr Historic,0.0
Price/Earnings (TTM),146.1859
Price/Sales (TTM),2.97045
Price/Book (MRQ),3.26021
Price/Cash Flow (TTM),12.89962
5yr Low,10.06
5yr High,23.58
5yr Avg Return,0.010549999999999997
Short Int Current Month,1365898.0
Short Int Prev Month,1108338.0
Short Int Pct of Float,0.0533654
Days to Cover,4.92539
Float,25.93247
Shares Outstanding,57.32538
Institutions Holding Shares,131.0
FCF Growth 5yr,-0.9741460663030796
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",146.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.37570000000000003
Operating Profit Margin (TTM),0.1164
Net Profit Margin (TTM),0.0188
Annual Dividend Yield,0.022799999999999997
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5484
EPS Growth (TTM),1.374
Revenue Growth (MRQ),0.1884
Revenue Growth (TTM),0.47259999999999996
Return On Equity (TTM),0.0139
Return On Assets (TTM),0.0049
Return On Investment (TTM),0.0064
Revenue Per Employee (TTM),2061554.0
Total Debt/Total Capital (MRQ),0.3711
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.77
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-11-23 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
