,ARIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",146.19,49.52,Valuation,2.952140549273021
Price/Sales (TTM),2.97,4.95,Valuation,0.6
Price/Book (MRQ),3.26,8.39,Valuation,0.38855780691299163
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.37570000000000003,0.3995,Profitability,0.9404255319148936
Operating Profit Margin (TTM),0.1164,-0.031400000000000004,Profitability,-3.707006369426751
Net Profit Margin (TTM),0.0188,-0.042300000000000004,Profitability,-0.4444444444444444
Annual Dividend Yield,0.022799999999999997,0.011000000000000001,Dividend,2.0727272727272723
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),-0.5484,0.2798,Gowth rates,-1.9599714081486777
EPS Growth (TTM),1.374,0.017,Gowth rates,80.82352941176471
Revenue Growth (MRQ),0.1884,6.526000000000001,Gowth rates,0.02886913882929819
Revenue Growth (TTM),0.47259999999999996,0.4152,Gowth rates,1.138246628131021
Return On Equity (TTM),0.0139,0.24,Effectiveness,0.057916666666666665
Return On Assets (TTM),0.0049,0.08750000000000001,Effectiveness,0.055999999999999994
Return On Investment (TTM),0.0064,0.11080000000000001,Effectiveness,0.057761732851985555
Revenue Per Employee (TTM),2061554.0,300327.0,Effectiveness,6.864364509351473
Total Debt/Total Capital (MRQ),0.3711,0.4451,Financial strength,0.8337452257919569
Change in Debt/Total Capital Quarter over Quarter,-0.0015,0.0070999999999999995,Financial strength,-0.21126760563380284
Quick Ratio (MRQ),,1.37,Financial strength,
Interest Coverage (MRQ),2.77,18.65,Financial strength,0.1485254691689008
