,SYF
% Above Low,0.33799999999999997
% Held by Institutions,0.9718000000000001
52-Wk Range,['27.22 - 50.20']
Annual Dividend $,0.92
Annual Dividend %,0.0248
Ask,36.42
Ask Size,1300.0
B/A Ratio,0.6153846153846154
B/A Size,800x1300
Beta,1.6
Bid,36.41
Bid Size,800.0
Day Change $,-0.635
Day Change %,-0.0171
Day High,36.77
Day Low,36.25
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",6.33
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.445
Last (size),700.0
Last (time),3:51p ET 11/28/22
Market Cap,16.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.86
Prev Close,37.05
Price,36.42
Short Interest,0.0395
Today's Open,36.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.16493313521545327
Growth 1yr High Est,-0.18950064020486546
Growth 1yr Consensus Est,-0.17721688771015937
Growth 2yr Low Est,-0.2692993078212498
Growth 2yr High Est,-0.11212788724303302
Growth 2yr Consensus Est,-0.1907135975321414
Growth 5yr Low Est,0.015945584184613226
Growth 5yr High Est,0.14800582382034394
Growth 5yr Consensus Est,0.08197570400247857
Growth 5yr Actual/Est,0.3277319195030248
Growth 3yr Historic,0.4097030420559833
Price/Earnings (TTM),5.85688
Price/Sales (TTM),1.0521
Price/Book (MRQ),1.38479
Price/Cash Flow (TTM),4.5947
5yr Low,12.15
5yr High,52.49
5yr Avg Return,0.05579999999999999
EPS Growth 5yr,0.2207969
Revenue Growth 5yr,0.006584799999999999
Dividend Growth 5yr,0.2761504
Short Int Current Month,17718121.0
Short Int Prev Month,16165958.0
Short Int Pct of Float,0.0395474
Days to Cover,3.4314
Float,448.5673
Shares Outstanding,450.5414
Institutions Holding Shares,934.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",5.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.269
Net Profit Margin (TTM),0.20500000000000002
Annual Dividend Yield,0.0248
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.040999999999999995
EPS Growth (MRQ),-0.0818
EPS Growth (TTM),-0.1069
Revenue Growth (MRQ),0.0658
Revenue Growth (TTM),0.08410000000000001
Return On Equity (TTM),0.252
Return On Assets (TTM),0.0338
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-05 00:00:00
theStreet since,2022-11-02 00:00:00
cfra since,2022-07-05 00:00:00
ford since,2022-07-01 00:00:00
marketEdge opinion since,
