,SYF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.86,8.59,Valuation,0.6821885913853318
Price/Sales (TTM),1.05,1.88,Valuation,0.5585106382978724
Price/Book (MRQ),1.38,3.02,Valuation,0.4569536423841059
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),0.269,0.2543,Profitability,1.0578057412504915
Net Profit Margin (TTM),0.20500000000000002,0.19039999999999999,Profitability,1.0766806722689077
Annual Dividend Yield,0.0248,0.0187,Dividend,1.3262032085561495
Dividend Change %,0.0,0.242,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.040999999999999995,0.0575,Dividend,0.7130434782608694
EPS Growth (MRQ),-0.0818,-0.1573,Gowth rates,0.5200254291163382
EPS Growth (TTM),-0.1069,-0.04820000000000001,Gowth rates,2.217842323651452
Revenue Growth (MRQ),0.0658,0.2511,Gowth rates,0.2620469932297889
Revenue Growth (TTM),0.08410000000000001,0.21670000000000003,Gowth rates,0.3880941393631749
Return On Equity (TTM),0.252,0.2596,Effectiveness,0.9707241910631741
Return On Assets (TTM),0.0338,0.0326,Effectiveness,1.0368098159509203
Return On Investment (TTM),,0.0432,Effectiveness,
Revenue Per Employee (TTM),,448656.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.4919,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0012,Financial strength,0.16666666666666669
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),,16.82,Financial strength,
