,KMPR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.05,Valuation,
Price/Sales (TTM),0.6,2.31,Valuation,0.2597402597402597
Price/Book (MRQ),1.42,3.65,Valuation,0.38904109589041097
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),-0.039700000000000006,0.1342,Profitability,-0.2958271236959762
Net Profit Margin (TTM),-0.061,0.1081,Profitability,-0.5642923219241442
Annual Dividend Yield,0.022799999999999997,0.0167,Dividend,1.3652694610778442
Dividend Change %,0.0333,-0.004,Dividend,-8.325000000000001
"Dividend Growth Rate, 3 Years",0.0891,0.0233,Dividend,3.8240343347639483
EPS Growth (MRQ),-0.0189,-0.11750000000000001,Gowth rates,0.16085106382978723
EPS Growth (TTM),-5.7622,-0.0281,Gowth rates,205.06049822064057
Revenue Growth (MRQ),-0.0555,0.0922,Gowth rates,-0.6019522776572668
Revenue Growth (TTM),0.0382,0.0431,Gowth rates,0.8863109048723897
Return On Equity (TTM),-0.1067,0.35479999999999995,Effectiveness,-0.30073280721533263
Return On Assets (TTM),-0.024700000000000003,0.031200000000000002,Effectiveness,-0.7916666666666667
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),559320.0,1270541.0,Effectiveness,0.44022192121308956
Total Debt/Total Capital (MRQ),0.3626,0.38939999999999997,Financial strength,0.9311761684643041
Change in Debt/Total Capital Quarter over Quarter,0.0038,0.0019,Financial strength,2.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-0.26,10.36,Financial strength,-0.0250965250965251
