,KMPR
% Below High,0.1566
% Held by Institutions,0.8215
52-Wk Range,['40.65 - 64.36']
Annual Dividend $,1.24
Annual Dividend %,0.022799999999999997
Ask,54.63
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,54.28
Day Change $,0.69
Day Change %,0.0129
Day High,54.52
Day Low,53.79
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",-5.51
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.406
Last (size),765.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,53.59
Short Interest,0.023399999999999997
Today's Open,54.01
Volume,60124.0
Volume 10-day Avg,198395.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.375
Growth 1yr High Est,-1.2746268656716417
Growth 1yr Consensus Est,-1.3248134328358208
Growth 2yr Low Est,-1.3958333333333335
Growth 2yr High Est,-2.292204737183647
Growth 2yr Consensus Est,-1.8440190352584902
Growth 5yr Low Est,-0.6898521505376345
Growth 5yr High Est,-1.1281023685918234
Growth 5yr Consensus Est,-0.9089772595647289
Growth 5yr Actual/Est,-1.0439548450522198
Growth 3yr Historic,-0.3674142288057212
Price/Earnings (TTM),
Price/Sales (TTM),0.60192
Price/Book (MRQ),1.42256
Price/Cash Flow (TTM),
5yr Low,40.65
5yr High,91.98
5yr Avg Return,-0.03551666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1736498
Dividend Growth 5yr,0.0525194
Short Int Current Month,1427257.0
Short Int Prev Month,1400785.0
Short Int Pct of Float,0.0234321
Days to Cover,3.38652
Float,60.99124
Shares Outstanding,63.88514
Institutions Holding Shares,260.0
FCF Growth 5yr,0.6473955817783675
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.039700000000000006
Net Profit Margin (TTM),-0.061
Annual Dividend Yield,0.022799999999999997
Dividend Change %,0.0333
"Dividend Growth Rate, 3 Years",0.0891
EPS Growth (MRQ),-0.0189
EPS Growth (TTM),-5.7622
Revenue Growth (MRQ),-0.0555
Revenue Growth (TTM),0.0382
Return On Equity (TTM),-0.1067
Return On Assets (TTM),-0.024700000000000003
Return On Investment (TTM),
Revenue Per Employee (TTM),559320.0
Total Debt/Total Capital (MRQ),0.3626
Change in Debt/Total Capital Quarter over Quarter,0.0038
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.26
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-07-19 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
marketEdge opinion since,
