,SPR
% Above Low,0.1594
% Held by Institutions,0.8584999999999999
52-Wk Range,['21.14 - 53.31']
Annual Dividend $,0.04
Annual Dividend %,0.0015
Ask,24.52
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.7
Bid,24.51
Bid Size,200.0
Day Change $,-1.49
Day Change %,-0.057300000000000004
Day High,25.6
Day Low,24.45
Dividend Pay Date,2022-10-03 00:00:00
"EPS (TTM, GAAP)",-4.05
Ex-dividend,2022-09-09 00:00:00
Ex-dividend Date,09/09/22
Historical Volatility,0.608
Last (size),10.0
Last (time),3:03p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,26.0
Price,24.51
Short Interest,0.044199999999999996
Today's Open,25.43
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.9113924050632911
Growth 2yr High Est,-3.5964912280701755
Growth 2yr Consensus Est,-2.2539418165667335
Growth 5yr Low Est,-0.9113924050632911
Growth 5yr High Est,-3.5964912280701755
Growth 5yr Consensus Est,-2.2539418165667335
Growth 5yr Actual/Est,-1.0670074381643073
Growth 3yr Historic,-0.6068989674585342
Price/Earnings (TTM),
Price/Sales (TTM),0.57256
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,13.69
5yr High,105.2
5yr Avg Return,-0.15191666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1026243
Dividend Growth 5yr,-0.16744679999999998
Short Int Current Month,4610059.0
Short Int Prev Month,5724104.0
Short Int Pct of Float,0.0442255
Days to Cover,1.21227
Float,104.2497
Shares Outstanding,105.2536
Institutions Holding Shares,336.0
FCF Growth 5yr,0.2837526626271876
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.025400000000000002
Operating Profit Margin (TTM),-0.0463
Net Profit Margin (TTM),-0.08800000000000001
Annual Dividend Yield,0.0015
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.557
EPS Growth (MRQ),-0.0432
EPS Growth (TTM),0.4114
Revenue Growth (MRQ),0.0151
Revenue Growth (TTM),0.2713
Return On Equity (TTM),-2.2363999999999997
Return On Assets (TTM),-0.0582
Return On Investment (TTM),-0.0812
Revenue Per Employee (TTM),296870.0
Total Debt/Total Capital (MRQ),1.0122
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),0.79
Interest Coverage (MRQ),0.1
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-05-07 00:00:00
theStreet since,2022-06-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-12-03 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
