,LZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,75.74,Valuation,
Price/Sales (TTM),2.81,5.07,Valuation,0.554240631163708
Price/Book (MRQ),11.28,7.18,Valuation,1.5710306406685237
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.6556000000000001,0.49210000000000004,Profitability,1.3322495427758587
Operating Profit Margin (TTM),-0.1187,0.10619999999999999,Profitability,-1.1177024482109228
Net Profit Margin (TTM),-0.12150000000000001,0.055,Profitability,-2.2090909090909094
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),0.22160000000000002,-18.5673,Gowth rates,-0.01193496092592892
EPS Growth (TTM),0.0853,-0.2057,Gowth rates,-0.41468157510938264
Revenue Growth (MRQ),-0.057699999999999994,0.10880000000000001,Gowth rates,-0.5303308823529411
Revenue Growth (TTM),0.10710000000000001,0.11970000000000001,Gowth rates,0.8947368421052632
Return On Equity (TTM),-0.433,0.1999,Effectiveness,-2.1660830415207606
Return On Assets (TTM),-0.174,0.0565,Effectiveness,-3.079646017699115
Return On Investment (TTM),-0.41100000000000003,0.0848,Effectiveness,-4.846698113207547
Revenue Per Employee (TTM),504622.0,417216.0,Effectiveness,1.2094981975763155
Total Debt/Total Capital (MRQ),0.0,0.4147,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),,18.36,Financial strength,
