,LZ
% Above Low,0.1886
% Held by Institutions,0.6489
52-Wk Range,['7.53 - 19.75']
Annual Dividend $,
Annual Dividend %,
Ask,21.26
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,2.5
Bid Size,200.0
Closing Price,8.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.38
Ex-dividend Date,No dividend
Historical Volatility,0.6940000000000001
Last (size),46.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.95
Short Interest,0.0635
Today's Open,
Volume,299627.0
Volume 10-day Avg,2094383.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-4.666666666666667
Growth 1yr High Est,18.0
Growth 1yr Consensus Est,6.666666666666666
Growth 2yr Low Est,-1.9242424242424243
Growth 2yr High Est,9.473684210526315
Growth 2yr Consensus Est,3.7747208931419456
Growth 5yr Low Est,-1.9242424242424243
Growth 5yr High Est,9.473684210526315
Growth 5yr Consensus Est,3.7747208931419456
Growth 5yr Actual/Est,2.404761904761905
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.80529
Price/Book (MRQ),11.27858
Price/Cash Flow (TTM),
5yr Low,7.53
5yr High,40.94
5yr Avg Return,-0.5054500000000001
Short Int Current Month,6297773.0
Short Int Prev Month,6839113.0
Short Int Pct of Float,0.0635095
Days to Cover,4.08696
Float,142.6676
Shares Outstanding,192.6493
Institutions Holding Shares,171.0
FCF Growth 5yr,0.1551055256088969
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6556000000000001
Operating Profit Margin (TTM),-0.1187
Net Profit Margin (TTM),-0.12150000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.22160000000000002
EPS Growth (TTM),0.0853
Revenue Growth (MRQ),-0.057699999999999994
Revenue Growth (TTM),0.10710000000000001
Return On Equity (TTM),-0.433
Return On Assets (TTM),-0.174
Return On Investment (TTM),-0.41100000000000003
Revenue Per Employee (TTM),504622.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-03 00:00:00
theStreet since,2022-10-03 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
