,GTES
% Above Low,0.2404
% Held by Institutions,1.0221
52-Wk Range,['9.40 - 16.87']
Annual Dividend $,
Annual Dividend %,
Ask,18.62
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.6
Bid,9.0
Bid Size,100.0
Closing Price,11.66
Day Change $,0.07
Day Change %,0.006
Day High,11.67
Day Low,11.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.68
Ex-dividend Date,No dividend
Historical Volatility,0.36700000000000005
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.05
Prev Close,11.59
Short Interest,0.0053
Today's Open,11.61
Volume,187943.0
Volume 10-day Avg,491984.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.6417910447761195
Growth 1yr High Est,0.5972222222222221
Growth 1yr Consensus Est,0.6195066334991708
Growth 2yr Low Est,0.2890773405698779
Growth 2yr High Est,0.35513285024154584
Growth 2yr Consensus Est,0.32210509540571186
Growth 5yr Low Est,0.08064978139605006
Growth 5yr High Est,0.11313343543005128
Growth 5yr Consensus Est,0.09689160841305067
Growth 5yr Actual/Est,0.1371176572818909
Growth 3yr Historic,0.17157738095238104
Price/Earnings (TTM),17.04629
Price/Sales (TTM),0.94732
Price/Book (MRQ),1.12168
Price/Cash Flow (TTM),7.43084
5yr Low,5.42
5yr High,20.29
5yr Avg Return,-0.07062
EPS Growth 5yr,0.44337940000000003
Revenue Growth 5yr,0.0481036
Dividend Growth 5yr,
Short Int Current Month,1483848.0
Short Int Prev Month,1515712.0
Short Int Pct of Float,0.005269899999999999
Days to Cover,1.73263
Float,281.5758
Shares Outstanding,282.4484
Institutions Holding Shares,243.0
FCF Growth 5yr,-0.6849808023434204
"Price/Earnings (TTM, GAAP)",17.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35869999999999996
Operating Profit Margin (TTM),0.1038
Net Profit Margin (TTM),0.0644
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0233
EPS Growth (TTM),-0.2132
Revenue Growth (MRQ),-0.050800000000000005
Revenue Growth (TTM),0.0068000000000000005
Return On Equity (TTM),0.0669
Return On Assets (TTM),0.0308
Return On Investment (TTM),0.0365
Revenue Per Employee (TTM),230997.0
Total Debt/Total Capital (MRQ),0.43479999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),2.05
Interest Coverage (MRQ),3.22
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-05 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-10-01 00:00:00
cfra since,
marketEdge opinion since,
