,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,20.29,17.6,14.3,18.94,16.87,,,,,
low,12.2,6.76,5.42,12.34,9.4,,,,,
change,-0.305,0.0617,-0.0767,0.2372,-0.27030000000000004,,,,,
Date,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,658.0,407.0,393.0,395.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,708.0,791.0,832.0,805.0,Balance Sheet
Other Receivables,,,,,,19.0,33.0,50.0,63.0,Balance Sheet
"Total Receivables, Net",,,,,,727.0,824.0,882.0,868.0,Balance Sheet
Invent. - Finished Goods,,,,,,440.0,457.0,443.0,440.0,Balance Sheet
Invent. - Work In Progress,,,,,,43.0,49.0,44.0,45.0,Balance Sheet
Invent. - Raw Materials,,,,,,200.0,212.0,209.0,202.0,Balance Sheet
Total Inventory,,,,,,683.0,718.0,696.0,687.0,Balance Sheet
Prepaid Expenses,,,,,,211.0,258.0,276.0,267.0,Balance Sheet
Total Current Assets,,,,,,2279.0,2207.0,2247.0,2217.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,795.0,788.0,748.0,748.0,Balance Sheet
"Goodwill, Net",,,,,,2063.0,2050.0,1973.0,1905.0,Balance Sheet
Intangibles - Gross,,,,,,2734.0,2723.0,2671.0,2625.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-1092.0,-1119.0,-1126.0,-1133.0,Balance Sheet
Intangibles - Net,,,,,,1642.0,1604.0,1545.0,1492.0,Balance Sheet
Note Rcvble - Long Term,,,,,,16.0,15.0,15.0,15.0,Balance Sheet
Pension Bene. - Overfunded,,,,,,76.0,74.0,69.0,64.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,639.0,610.0,558.0,531.0,Balance Sheet
Other Long Term Assets,,,,,,24.0,53.0,44.0,66.0,Balance Sheet
Total Assets,,,,,,7533.0,7399.0,7198.0,7039.0,Balance Sheet
Accounts Payable,,,,,,507.0,495.0,479.0,453.0,Balance Sheet
Accrued Expenses,,,,,,277.0,238.0,220.0,217.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,38.0,29.0,38.0,28.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,34.0,27.0,35.0,48.0,Balance Sheet
Total Current Liabilities,,,,,,856.0,789.0,772.0,747.0,Balance Sheet
Total Long Term Debt,,,,,,2527.0,2573.0,2534.0,2467.0,Balance Sheet
Total Debt,,,,,,2565.0,2603.0,2572.0,2495.0,Balance Sheet
Deferred Income Tax,,,,,,284.0,268.0,225.0,211.0,Balance Sheet
Minority Interest,,,,,,382.0,381.0,345.0,308.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,106.0,103.0,97.0,91.0,Balance Sheet
Other LT Liabilities,,,,,,279.0,291.0,267.0,280.0,Balance Sheet
"Other Liabilities, Total",,,,,,386.0,394.0,365.0,371.0,Balance Sheet
Total Liabilities,,,,,,4433.0,4404.0,4240.0,4103.0,Balance Sheet
Common Stock,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,2484.0,2505.0,2524.0,2533.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,1438.0,1415.0,1346.0,1398.0,Balance Sheet
Treasury Stock - Common,,,,,,,-122.0,,,Balance Sheet
Cum. Trans. Adjustment,,,,,,-837.0,-846.0,-960.0,-1064.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,37.0,36.0,35.0,34.0,Balance Sheet
Other Comprehensive Income,,,,,,-25.0,4.0,10.0,32.0,Balance Sheet
"Other Equity, Total",,,,,,-825.0,-805.0,-915.0,-998.0,Balance Sheet
Total Equity,,,,,,3100.0,2995.0,2958.0,2936.0,Balance Sheet
