,YOU
% Below High,0.1223
% Held by Institutions,0.9947
52-Wk Range,['18.79 - 35.08']
Annual Dividend $,
Annual Dividend %,
Ask,34.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,30.8
Bid Size,100.0
Closing Price,30.79
Day Change $,-1.39
Day Change %,-0.0432
Day High,32.11
Day Low,30.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.47
Ex-dividend Date,No dividend
Historical Volatility,0.78
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,32.18
Short Interest,0.1888
Today's Open,31.56
Volume,746973.0
Volume 10-day Avg,1559974.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.0
Growth 2yr High Est,4.999999999999999
Growth 2yr Consensus Est,3.9999999999999996
Growth 5yr Low Est,3.0
Growth 5yr High Est,4.999999999999999
Growth 5yr Consensus Est,3.9999999999999996
Growth 5yr Actual/Est,1.3695652173913042
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),12.58254
Price/Book (MRQ),16.56341
Price/Cash Flow (TTM),
5yr Low,18.79
5yr High,65.7
5yr Avg Return,-0.10475
Short Int Current Month,12459314.0
Short Int Prev Month,12909484.0
Short Int Pct of Float,0.1887533
Days to Cover,10.79616
Float,73.02968
Shares Outstanding,152.4294
Institutions Holding Shares,186.0
FCF Growth 5yr,0.5853027210168565
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8706999999999999
Operating Profit Margin (TTM),-0.33299999999999996
Net Profit Margin (TTM),-0.3279
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-4.1136
EPS Growth (TTM),-5.6853
Revenue Growth (MRQ),0.1285
Revenue Growth (TTM),0.7215
Return On Equity (TTM),-0.24710000000000001
Return On Assets (TTM),-0.1533
Return On Investment (TTM),-0.42240000000000005
Revenue Per Employee (TTM),173185.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-16 00:00:00
theStreet since,2022-08-16 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
