,YOU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),12.58,9.39,Valuation,1.3397231096911608
Price/Book (MRQ),16.56,12.63,Valuation,1.3111638954869358
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8706999999999999,0.7206,Profitability,1.2082986400222036
Operating Profit Margin (TTM),-0.33299999999999996,0.2172,Profitability,-1.533149171270718
Net Profit Margin (TTM),-0.3279,0.1553,Profitability,-2.1113972955569866
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-4.1136,-0.0752,Gowth rates,54.702127659574465
EPS Growth (TTM),-5.6853,-0.2824,Gowth rates,20.132082152974505
Revenue Growth (MRQ),0.1285,0.15560000000000002,Gowth rates,0.8258354755784061
Revenue Growth (TTM),0.7215,0.1906,Gowth rates,3.7854144805876184
Return On Equity (TTM),-0.24710000000000001,0.2189,Effectiveness,-1.1288259479214253
Return On Assets (TTM),-0.1533,0.10740000000000001,Effectiveness,-1.4273743016759775
Return On Investment (TTM),-0.42240000000000005,0.1387,Effectiveness,-3.045421773612113
Revenue Per Employee (TTM),173185.0,667721.0,Effectiveness,0.2593673105982888
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
