,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,65.7,34.8,,,,,
low,24.02,18.79,,,,,
change,-0.1863,-0.0232,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,280.0,299.0,340.0,329.0,Balance Sheet
Short Term Investments,,,335.0,334.0,334.0,342.0,Balance Sheet
Cash and Short Term Invs,,,615.0,633.0,674.0,671.0,Balance Sheet
"Total Receivables, Net",,,5.0,8.0,3.0,2.0,Balance Sheet
Prepaid Expenses,,,17.0,20.0,19.0,28.0,Balance Sheet
"Other Curr. Assets, Total",,,15.0,7.0,7.0,5.0,Balance Sheet
Total Current Assets,,,653.0,668.0,703.0,706.0,Balance Sheet
Buildings,,,8.0,8.0,8.0,8.0,Balance Sheet
Machinery/Equipment,,,74.0,77.0,82.0,84.0,Balance Sheet
Construction in Progress,,,2.0,3.0,10.0,13.0,Balance Sheet
Other Prop./Plant/Equip.,,,2.0,27.0,26.0,20.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,86.0,115.0,125.0,126.0,Balance Sheet
Accumulated Depreciation,,,-41.0,-45.0,-48.0,-52.0,Balance Sheet
Prop./Plant/Equip. - Net,,,45.0,71.0,77.0,74.0,Balance Sheet
"Goodwill, Net",,,60.0,58.0,58.0,59.0,Balance Sheet
Intangibles - Gross,,,23.0,25.0,25.0,26.0,Balance Sheet
Accum. Intangible Amort.,,,0.0,-1.0,-2.0,-3.0,Balance Sheet
Intangibles - Net,,,23.0,24.0,24.0,23.0,Balance Sheet
Note Rcvble - Long Term,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,813.0,854.0,894.0,895.0,Balance Sheet
Accounts Payable,,,9.0,7.0,11.0,9.0,Balance Sheet
Accrued Expenses,,,67.0,78.0,95.0,76.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,189.0,206.0,226.0,256.0,Balance Sheet
Other Current Liabilities,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,189.0,206.0,226.0,256.0,Balance Sheet
Total Current Liabilities,,,265.0,290.0,332.0,341.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,5.0,4.0,4.0,Balance Sheet
Minority Interest,,,262.0,253.0,241.0,239.0,Balance Sheet
"Other Liabilities, Total",,,9.0,27.0,26.0,20.0,Balance Sheet
Total Liabilities,,,535.0,574.0,604.0,603.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,314.0,327.0,345.0,384.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-36.0,-46.0,-54.0,-90.0,Balance Sheet
Treasury Stock - Common,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,0.0,-1.0,-1.0,-2.0,Balance Sheet
Total Equity,,,278.0,280.0,290.0,292.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,813.0,854.0,894.0,895.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,76.0,79.0,81.0,83.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,1.0,1.0,1.0,1.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,45.0,44.0,40.0,40.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 4,,,27.0,27.0,27.0,26.0,Balance Sheet
Ttl Comm. Shares Outs.,,,149.0,150.0,149.0,150.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,80659.0,90539.0,102723.0,115919.0,Income Statement
"Cost of Revenue, Total",,,11211.0,12142.0,12313.0,14743.0,Income Statement
Selling/Gen/Admin Expense,,,62006.0,53752.0,59558.0,118919.0,Income Statement
Labor & Related Expense,,,21617.0,22980.0,25313.0,26918.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,83623.0,76732.0,84871.0,145837.0,Income Statement
Research & Development,,,14197.0,15512.0,14333.0,16508.0,Income Statement
Depreciation,,,3125.0,3489.0,3589.0,3715.0,Income Statement
Amortiz of Intangibles,,,43.0,895.0,739.0,816.0,Income Statement
Depreciation/Amortization,,,3168.0,4384.0,4328.0,4531.0,Income Statement
Unusual Expense (Income),,,,313.0,0.0,904.0,Income Statement
Total Operating Expense,,,112199.0,109083.0,115845.0,182523.0,Income Statement
Total Operating Income,,,-31540.0,-18544.0,-13122.0,-66604.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-16.0,7.0,187.0,1636.0,Income Statement
"Other, Net",,,355.0,45.0,465.0,-1127.0,Income Statement
