,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,90.0,44.13,,,,,
low,39.3,10.4,,,,,
change,-0.34149999999999997,-0.7179000000000001,,,,,
Date,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,1776.0,1769.0,1679.0,1607.0,Balance Sheet
Short Term Investments,,,102.0,96.0,115.0,114.0,Balance Sheet
Cash and Short Term Invs,,,1878.0,1865.0,1794.0,1722.0,Balance Sheet
"Trade Accts Recvble, Gross",,,199.0,255.0,172.0,196.0,Balance Sheet
Prov. for Doubtful Accts,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
"Trade Accts Recvble, Net",,,260.0,327.0,257.0,288.0,Balance Sheet
Other Receivables,,,9.0,10.0,9.0,15.0,Balance Sheet
"Total Receivables, Net",,,269.0,337.0,266.0,303.0,Balance Sheet
Prepaid Expenses,,,35.0,45.0,52.0,49.0,Balance Sheet
Restricted Cash - Current,,,0.0,0.0,,,Balance Sheet
Other Current Assets,,,24.0,30.0,32.0,35.0,Balance Sheet
"Other Curr. Assets, Total",,,24.0,30.0,32.0,35.0,Balance Sheet
Total Current Assets,,,2207.0,2277.0,2145.0,2108.0,Balance Sheet
Buildings,,,9.0,9.0,8.0,8.0,Balance Sheet
Machinery/Equipment,,,20.0,22.0,23.0,25.0,Balance Sheet
Other Prop./Plant/Equip.,,,56.0,56.0,58.0,61.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,86.0,88.0,89.0,93.0,Balance Sheet
Accumulated Depreciation,,,-21.0,-22.0,-22.0,-24.0,Balance Sheet
Prop./Plant/Equip. - Net,,,65.0,66.0,67.0,70.0,Balance Sheet
"Goodwill, Net",,,54.0,54.0,52.0,86.0,Balance Sheet
Intangibles - Gross,,,30.0,28.0,29.0,49.0,Balance Sheet
Accum. Intangible Amort.,,,-7.0,-8.0,-11.0,-15.0,Balance Sheet
Intangibles - Net,,,23.0,20.0,18.0,35.0,Balance Sheet
Long Term Investments,,,13.0,20.0,7.0,2.0,Balance Sheet
Note Rcvble - Long Term,,,1.0,3.0,5.0,6.0,Balance Sheet
Deferred Charges,,,78.0,100.0,104.0,107.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,7.0,11.0,8.0,8.0,Balance Sheet
Restricted Cash - LT,,,0.0,0.0,,,Balance Sheet
Other Long Term Assets,,,19.0,22.0,19.0,13.0,Balance Sheet
Total Assets,,,2468.0,2572.0,2425.0,2435.0,Balance Sheet
Accounts Payable,,,24.0,12.0,17.0,12.0,Balance Sheet
Accrued Expenses,,,147.0,165.0,101.0,121.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,253.0,297.0,282.0,292.0,Balance Sheet
Income Taxes Payable,,,8.0,28.0,21.0,12.0,Balance Sheet
Other Current Liabilities,,,35.0,26.0,16.0,22.0,Balance Sheet
"Other Curr. Lblts, Total",,,297.0,351.0,319.0,327.0,Balance Sheet
Total Current Liabilities,,,467.0,528.0,438.0,460.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,117.0,123.0,106.0,125.0,Balance Sheet
Total Liabilities,,,584.0,651.0,545.0,585.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,3312.0,3407.0,3488.0,3577.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-1433.0,-1496.0,-1619.0,-1739.0,Balance Sheet
"Other Equity, Total",,,4.0,11.0,10.0,11.0,Balance Sheet
