,PATH
% Above Low,0.1807
% Held by Institutions,0.6311
52-Wk Range,['10.40 - 51.15']
Annual Dividend $,
Annual Dividend %,
Ask,12.28
Ask Size,1000.0
B/A Ratio,0.6
B/A Size,600x1000
Beta,
Bid,12.27
Bid Size,600.0
Day Change $,-0.145
Day Change %,-0.011699999999999999
Day High,12.62
Day Low,12.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,0.818
Last (size),100.0
Last (time),10:06a ET 11/28/22
Market Cap,6.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.42
Price,12.28
Short Interest,0.0564
Today's Open,12.24
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-3.666666666666667
Growth 1yr High Est,-0.5
Growth 1yr Consensus Est,-2.0833333333333335
Growth 2yr Low Est,-2.0208333333333335
Growth 2yr High Est,0.7499999999999998
Growth 2yr Consensus Est,-0.6354166666666669
Growth 5yr Low Est,-2.0208333333333335
Growth 5yr High Est,0.7499999999999998
Growth 5yr Consensus Est,-0.6354166666666669
Growth 5yr Actual/Est,-2.625
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),6.84115
Price/Book (MRQ),3.68965
Price/Cash Flow (TTM),
5yr Low,10.4
5yr High,90.0
5yr Avg Return,-0.5297
Short Int Current Month,23066800.0
Short Int Prev Month,25859431.0
Short Int Pct of Float,0.0564277
Days to Cover,3.17447
Float,412.0471
Shares Outstanding,549.6068
Institutions Holding Shares,390.0
FCF Growth 5yr,0.1850678124357088
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8262
Operating Profit Margin (TTM),-0.4042
Net Profit Margin (TTM),-0.42979999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0253
EPS Growth (TTM),-0.08869999999999999
Revenue Growth (MRQ),-0.0116
Revenue Growth (TTM),0.354
Return On Equity (TTM),-0.2288
Return On Assets (TTM),-0.1793
Return On Investment (TTM),-0.2172
Revenue Per Employee (TTM),248642.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-06-02 00:00:00
theStreet since,2022-06-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-09-16 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
