,AEIS
% Below High,0.0727
% Held by Institutions,1.0112999999999999
52-Wk Range,['67.55 - 98.07']
Annual Dividend $,0.4
Annual Dividend %,0.0044
Ask,91.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,90.39
Bid Size,100.0
Closing Price,90.94
Day Change $,-1.08
Day Change %,-0.011699999999999999
Day High,92.45
Day Low,90.91
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.434
Last (size),18.0
Last (time),12:59p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.48
Prev Close,92.02
Short Interest,0.048499999999999995
Today's Open,92.02
Volume,60292.0
Volume 10-day Avg,194670.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.2564612326043738
Growth 1yr High Est,0.31346153846153846
Growth 1yr Consensus Est,0.28496138553295614
Growth 2yr Low Est,-0.05214913053325615
Growth 2yr High Est,0.1406253519540489
Growth 2yr Consensus Est,0.04423811071039638
Growth 5yr Low Est,-0.034766087022170766
Growth 5yr High Est,0.0937502346360326
Growth 5yr Consensus Est,0.02949207380693092
Growth 5yr Actual/Est,0.30049168961968764
Growth 3yr Historic,0.26435013948531494
Price/Earnings (TTM),17.47734
Price/Sales (TTM),1.94085
Price/Book (MRQ),3.43734
Price/Cash Flow (TTM),13.36465
5yr Low,33.38
5yr High,125.55
5yr Avg Return,0.06538333333333333
EPS Growth 5yr,0.0374467
Revenue Growth 5yr,0.2465612
Dividend Growth 5yr,
Short Int Current Month,1784394.0
Short Int Prev Month,1860372.0
Short Int Pct of Float,0.0484553
Days to Cover,6.74272
Float,36.82879
Shares Outstanding,37.38311
Institutions Holding Shares,373.0
FCF Growth 5yr,-2.169940628756501
"Price/Earnings (TTM, GAAP)",17.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3639
Operating Profit Margin (TTM),0.12840000000000001
Net Profit Margin (TTM),0.1121
Annual Dividend Yield,0.0044
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.675
EPS Growth (TTM),0.4667
Revenue Growth (MRQ),0.17079999999999998
Revenue Growth (TTM),0.2249
Return On Equity (TTM),0.2145
Return On Assets (TTM),0.10310000000000001
Return On Investment (TTM),0.1315
Revenue Per Employee (TTM),175161.0
Total Debt/Total Capital (MRQ),0.27640000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.78
Interest Coverage (MRQ),40.73
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-08-05 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-08 00:00:00
