,AEIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.48,21.62,Valuation,0.8085106382978723
Price/Sales (TTM),1.94,5.43,Valuation,0.35727440147329653
Price/Book (MRQ),3.44,5.49,Valuation,0.6265938069216758
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.3639,0.33659999999999995,Profitability,1.0811051693404636
Operating Profit Margin (TTM),0.12840000000000001,-0.0824,Profitability,-1.5582524271844662
Net Profit Margin (TTM),0.1121,-0.1173,Profitability,-0.9556692242114238
Annual Dividend Yield,0.0044,0.0088,Dividend,0.5
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.675,0.1058,Gowth rates,6.3799621928166355
EPS Growth (TTM),0.4667,-0.0147,Gowth rates,-31.74829931972789
Revenue Growth (MRQ),0.17079999999999998,0.1655,Gowth rates,1.03202416918429
Revenue Growth (TTM),0.2249,0.1855,Gowth rates,1.2123989218328841
Return On Equity (TTM),0.2145,0.23850000000000002,Effectiveness,0.8993710691823898
Return On Assets (TTM),0.10310000000000001,0.0752,Effectiveness,1.3710106382978724
Return On Investment (TTM),0.1315,0.1041,Effectiveness,1.2632084534101826
Revenue Per Employee (TTM),175161.0,449465.0,Effectiveness,0.38970998854193317
Total Debt/Total Capital (MRQ),0.27640000000000003,0.3575,Financial strength,0.7731468531468533
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0362,Financial strength,-0.033149171270718224
Quick Ratio (MRQ),1.78,1.53,Financial strength,1.1633986928104576
Interest Coverage (MRQ),40.73,15.46,Financial strength,2.634540750323415
