,SCVL
% Above Low,0.3171
% Held by Institutions,0.6397999999999999
52-Wk Range,['19.43 - 42.73']
Annual Dividend $,0.34
Annual Dividend %,0.0132
Ask,25.61
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,25.56
Bid Size,200.0
Day Change $,-0.085
Day Change %,-0.0033
Day High,26.03
Day Low,25.36
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2022-10-03 00:00:00
Ex-dividend Date,10/03/22
Historical Volatility,0.542
Last (size),100.0
Last (time),1:52p ET 11/28/22
Market Cap,706.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.6
Prev Close,25.67
Price,25.59
Short Interest,0.1539
Today's Open,25.41
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,2.6574074074074074
Growth 1yr High Est,2.526785714285714
Growth 1yr Consensus Est,2.592096560846561
Growth 2yr Low Est,1.3856657290201593
Growth 2yr High Est,1.3330131103074139
Growth 2yr Consensus Est,1.3593394196637867
Growth 5yr Low Est,0.5379032870452909
Growth 5yr High Est,0.5133923683024959
Growth 5yr Consensus Est,0.5256478276738935
Growth 5yr Actual/Est,1.9793744096777335
Growth 3yr Historic,2.015533268101761
Price/Earnings (TTM),6.60153
Price/Sales (TTM),0.55171
Price/Book (MRQ),1.40204
Price/Cash Flow (TTM),5.42194
5yr Low,6.28
5yr High,46.21
5yr Avg Return,0.16865
EPS Growth 5yr,0.5333687
Revenue Growth 5yr,0.0585232
Dividend Growth 5yr,0.1528454
Short Int Current Month,2606750.0
Short Int Prev Month,2752993.0
Short Int Pct of Float,0.1538815
Days to Cover,7.88655
Float,16.93398
Shares Outstanding,27.61389
Institutions Holding Shares,227.0
FCF Growth 5yr,0.8296264525852853
"Price/Earnings (TTM, GAAP)",6.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36869999999999997
Operating Profit Margin (TTM),0.1134
Net Profit Margin (TTM),0.0849
Annual Dividend Yield,0.013200000000000002
Dividend Change %,0.5775
"Dividend Growth Rate, 3 Years",0.2114
EPS Growth (MRQ),0.134
EPS Growth (TTM),-0.21489999999999998
Revenue Growth (MRQ),0.0941
Revenue Growth (TTM),0.010900000000000002
Return On Equity (TTM),0.2325
Return On Assets (TTM),0.1244
Return On Investment (TTM),0.1528
Revenue Per Employee (TTM),494164.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.44
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2021-03-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
