,SCVL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.6,19.03,Valuation,0.34682080924855485
Price/Sales (TTM),0.55,1.93,Valuation,0.2849740932642487
Price/Book (MRQ),1.4,92.12,Valuation,0.01519756838905775
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.36869999999999997,0.34390000000000004,Profitability,1.0721139866240184
Operating Profit Margin (TTM),0.1134,0.11789999999999999,Profitability,0.9618320610687023
Net Profit Margin (TTM),0.0849,0.0818,Profitability,1.0378973105134475
Annual Dividend Yield,0.013200000000000002,0.016200000000000003,Dividend,0.8148148148148148
Dividend Change %,0.5775,0.2582,Dividend,2.2366382649109218
"Dividend Growth Rate, 3 Years",0.2114,0.09390000000000001,Dividend,2.2513312034078803
EPS Growth (MRQ),0.134,-0.10800000000000001,Gowth rates,-1.2407407407407407
EPS Growth (TTM),-0.21489999999999998,0.0262,Gowth rates,-8.202290076335876
Revenue Growth (MRQ),0.0941,0.0478,Gowth rates,1.9686192468619246
Revenue Growth (TTM),0.010900000000000002,0.0874,Gowth rates,0.12471395881006866
Return On Equity (TTM),0.2325,5.2054,Effectiveness,0.04466515541553003
Return On Assets (TTM),0.1244,0.1562,Effectiveness,0.7964148527528808
Return On Investment (TTM),0.1528,0.26,Effectiveness,0.5876923076923076
Revenue Per Employee (TTM),494164.0,410011.0,Effectiveness,1.2052457129198972
Total Debt/Total Capital (MRQ),,0.8926999999999999,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),0.44,0.39,Financial strength,1.1282051282051282
Interest Coverage (MRQ),,13.36,Financial strength,
