,VMC
Price/Earnings (TTM),40.0872
Price/Sales (TTM),3.38922
Price/Book (MRQ),3.55411
Price/Cash Flow (TTM),20.51129
5yr Low,65.56
5yr High,213.65
5yr Avg Return,0.09476666666666667
EPS Growth 5yr,0.10173249999999999
Revenue Growth 5yr,0.090962
Dividend Growth 5yr,0.1309264
Short Int Current Month,1334400.0
Short Int Prev Month,1616099.0
Short Int Pct of Float,0.0100623
Days to Cover,1.3899
Float,132.6253
Shares Outstanding,132.9069
Institutions Holding Shares,942.0
% Held by Institutions,0.8946500000000001
FCF Growth 5yr,2.5767687377981496
