,VMC
% Below High,0.159
% Held by Institutions,0.8946999999999999
52-Wk Range,['137.54 - 213.65']
Annual Dividend $,1.6
Annual Dividend %,0.0087
Ask,190.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,179.68
Bid Size,100.0
Closing Price,179.68
Day Change $,-3.66
Day Change %,-0.02
Day High,183.33
Day Low,178.99
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",4.57
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.315
Last (size),70.0
Last (time),7:00p ET 11/28/22
Market Cap,23.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.09
Prev Close,183.34
Short Interest,0.0101
Today's Open,182.25
Volume,658304.0
Volume 10-day Avg,620828.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.12304250559284102
Growth 1yr High Est,0.04761904761904767
Growth 1yr Consensus Est,0.08533077660594435
Growth 2yr Low Est,0.15215870299562373
Growth 2yr High Est,0.19471861471861474
Growth 2yr Consensus Est,0.17343865885711923
Growth 5yr Low Est,0.07611098521479892
Growth 5yr High Est,0.11773113591880341
Growth 5yr Consensus Est,0.09692106056680116
Growth 5yr Actual/Est,0.09681077189834325
Growth 3yr Historic,0.0181669394435352
Price/Earnings (TTM),40.0872
Price/Sales (TTM),3.38922
Price/Book (MRQ),3.55411
Price/Cash Flow (TTM),20.51129
5yr Low,65.56
5yr High,213.65
5yr Avg Return,0.09476666666666667
EPS Growth 5yr,0.10173249999999999
Revenue Growth 5yr,0.090962
Dividend Growth 5yr,0.1309264
Short Int Current Month,1334400.0
Short Int Prev Month,1616099.0
Short Int Pct of Float,0.0100623
Days to Cover,1.3899
Float,132.6253
Shares Outstanding,132.9069
Institutions Holding Shares,942.0
FCF Growth 5yr,2.5767687377981496
"Price/Earnings (TTM, GAAP)",40.09
"PEG Ratio (TTM, GAAP)",2.46
Gross Profit Margin (TTM),0.2169
Operating Profit Margin (TTM),0.1351
Net Profit Margin (TTM),0.085
Annual Dividend Yield,0.0087
Dividend Change %,0.0882
"Dividend Growth Rate, 3 Years",0.0974
EPS Growth (MRQ),-0.1109
EPS Growth (TTM),-0.063
Revenue Growth (MRQ),0.06860000000000001
Revenue Growth (TTM),0.40390000000000004
Return On Equity (TTM),0.092
Return On Assets (TTM),0.0432
Return On Investment (TTM),0.047
Revenue Per Employee (TTM),628627.0
Total Debt/Total Capital (MRQ),0.3825
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),7.69
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-23 00:00:00
theStreet since,2020-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-05-07 00:00:00
ford since,2022-06-24 00:00:00
marketEdge opinion since,
