,ABUS
% Above Low,0.44320000000000004
% Held by Institutions,0.2923
52-Wk Range,['1.85 - 6.50']
Annual Dividend $,
Annual Dividend %,
Ask,2.82
Ask Size,2000.0
B/A Ratio,3.85
B/A Size,7700x2000
Beta,2.2
Bid,2.64
Bid Size,7700.0
Closing Price,2.67
Day Change $,-0.03
Day Change %,-0.0111
Day High,2.71
Day Low,2.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,0.745
Last (size),500.0
Last (time),1:00p ET 11/25/22
Market Cap,417.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.7
Short Interest,0.0325
Today's Open,2.71
Volume,151547.0
Volume 10-day Avg,1059581.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.48913043478260876
Growth 1yr High Est,-0.47560975609756095
Growth 1yr Consensus Est,-0.48237009544008486
Growth 2yr Low Est,-0.021160962072155398
Growth 2yr High Est,-0.20292115711854786
Growth 2yr Consensus Est,-0.11204105959535163
Growth 5yr Low Est,-0.046787046610195095
Growth 5yr High Est,-0.15078464738135752
Growth 5yr Consensus Est,-0.0987858469957763
Growth 5yr Actual/Est,-0.2704526410138825
Growth 3yr Historic,-0.20599480968858133
Price/Earnings (TTM),
Price/Sales (TTM),11.61109
Price/Book (MRQ),2.80201
Price/Cash Flow (TTM),
5yr Low,0.8214
5yr High,12.6
5yr Avg Return,-0.09905
EPS Growth 5yr,
Revenue Growth 5yr,0.4910362
Dividend Growth 5yr,
Short Int Current Month,3735606.0
Short Int Prev Month,4166515.0
Short Int Pct of Float,0.0325286
Days to Cover,2.94839
Float,116.1481
Shares Outstanding,156.4671
Institutions Holding Shares,156.0
FCF Growth 5yr,-161.30469880878078
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.7702000000000002
Net Profit Margin (TTM),-1.9134
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2194
EPS Growth (TTM),0.47409999999999997
Revenue Growth (MRQ),-0.5821000000000001
Revenue Growth (TTM),2.5386
Return On Equity (TTM),-1.2106000000000001
Return On Assets (TTM),-0.37270000000000003
Return On Investment (TTM),-0.41500000000000004
Revenue Per Employee (TTM),423294.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2014-09-12 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2014-04-10 00:00:00
marketEdge opinion since,
